Player,Prior_Team,Current_Team,Role
Jordan Spence,L.A,OTT,Skater
Cole Schwindt,VGK,FLA,Skater
Juuso Parssinen,"COL, NSH, NYR",NYR,Skater
Matias Maccelli,UTA,TOR,Skater
Drew O'Connor,"PIT, VAN",VAN,Skater
Justin Barron,"MTL, NSH",NSH,Skater
Lukas Reichel,CHI,"CHI, VAN",Skater
Donovan Sebrango,OTT,"FLA, OTT",Skater
JJ Peterka,BUF,UTA,Skater
Marat Khusnutdinov,"BOS, MIN",BOS,Skater
Ilya Solovyov,CGY,COL,Skater
Emil Heineman,MTL,NYI,Skater
Josh Doan,UTA,BUF,Skater
Logan Stankoven,"CAR, DAL",CAR,Skater
Logan Mailloux,MTL,STL,Skater
Zack Bolduc,STL,MTL,Skater
David Jiricek,"CBJ, MIN",MIN,Skater
Fraser Minten,"BOS, TOR",BOS,Skater
Nikita Grebenkin,TOR,PHI,Skater
Victor Mancini,"NYR, VAN",VAN,Skater
Andrei Kuzmenko,"CGY, L.A, PHI",L.A,Skater
Calum Ritchie,COL,NYI,Skater
Scott Wedgewood,"COL, NSH",COL,G
Petr Mrazek,"CHI, DET",ANA,G
Anton Forsberg,OTT,L.A,G
John Gibson,ANA,DET,G
Matt Murray,TOR,SEA,G
Alex Nedeljkovic,PIT,S.J,G
Vitek Vanecek,"FLA, S.J",UTA,G
Mackenzie Blackwood,"COL, S.J",COL,G
Dan Vladar,CGY,PHI,G
Alex Lyon,DET,BUF,G
David Rittich,L.A,NYI,G
Cayden Primeau,MTL,TOR,G
Daniil Tarasov,CBJ,FLA,G
Justus Annunen,"COL, NSH",NSH,G
Spencer Knight,"CHI, FLA",CHI,G
Arturs Silovs,VAN,PIT,G
Oliver Bjorkstrand,"SEA, T.B",T.B,Skater
Carl Grundstrom,S.J,PHI,Skater
Nicolas Hague,VGK,NSH,Skater
Alex Steeves,TOR,BOS,Skater
