Player,Team,Position,player_key,szn_GP,szn_W,szn_L,szn_OT,szn_GA,szn_GAA,szn_SA,szn_SV,szn_SV%,szn_SHO,szn_TOI,l7_GP,l7_W,l7_L,l7_OT,l7_GA,l7_GAA,l7_SA,l7_SV,l7_SV%,l7_SHO,l7_TOI,T_szn_GA,T_szn_SV%,T_szn_GAA,T_szn_W,T_szn_SV,T_szn_SHO,T_l7_GA,T_l7_SV%,T_l7_GAA,T_l7_W,T_l7_SV,T_l7_SHO,Goalie_Index_szn,Goalie_Index_l7
Justus Annunen,NSH,G,,9.0,3.0,5.0,0.0,33.0,3.29,263.0,230.0,0.875,0.0,10:02:05,1.0,1.0,0.0,0.0,2.0,2.0,31.0,29.0,0.935,0.0,01:00:00,54,27,33,22,41,21,90,84,79,62,33,43,33.0,65.16666666666667
Jakub Skarek,SJ,G,,,,,,,,,,,,-,,,,,,,,,,,-,50,50,50,50,50,50,50,50,50,50,50,50,50.0,50.0
Lukas Dostal,ANA,G,,26.0,13.0,10.0,0.0,80.0,3.22,705.0,625.0,0.887,0.0,24:48:41,4.0,0.0,2.0,0.0,19.0,5.32,102.0,83.0,0.814,0.0,03:34:24,19,42,36,79,75,21,1,13,10,11,89,43,45.333333333333336,27.833333333333332
Joel Hofer,STL,G,,20.0,9.0,8.0,0.0,59.0,2.88,588.0,529.0,0.9,3.0,20:30:51,3.0,2.0,1.0,0.0,8.0,2.68,89.0,81.0,0.91,0.0,02:59:16,30,59,49,65,70,97,21,71,60,88,88,43,61.666666666666664,61.833333333333336
Ivan Prosvetov,CGY,G,,,,,,,,,,,,-,,,,,,,,,,,-,50,50,50,50,50,50,50,50,50,50,50,50,50.0,50.0
Akira Schmid,VGK,G,,17.0,11.0,4.0,0.0,48.0,2.5,459.0,411.0,0.895,2.0,19:12:52,1.0,0.0,1.0,0.0,4.0,2.73,34.0,30.0,0.882,0.0,01:27:56,38,53,64,73,61,91,62,53,58,11,35,43,63.333333333333336,43.666666666666664
Samuel Ersson,PHI,G,,15.0,6.0,5.0,0.0,48.0,3.09,362.0,314.0,0.867,0.0,15:31:34,1.0,0.0,1.0,0.0,5.0,5.01,25.0,20.0,0.8,0.0,00:59:55,38,19,40,48,52,21,49,9,13,11,16,43,36.333333333333336,23.5
Magnus Chrona,NSH,G,,,,,,,,,,,,-,,,,,,,,,,,-,50,50,50,50,50,50,50,50,50,50,50,50,50.0,50.0
Kevin Mandolese,MTL,G,,,,,,,,,,,,-,,,,,,,,,,,-,50,50,50,50,50,50,50,50,50,50,50,50,50.0,50.0
Logan Thompson,WSH,G,,29.0,15.0,11.0,0.0,68.0,2.39,786.0,718.0,0.913,2.0,28:24:45,3.0,1.0,2.0,0.0,11.0,3.65,98.0,87.0,0.888,0.0,03:00:36,24,75,69,84,78,91,9,57,34,62,90,43,70.16666666666667,49.166666666666664
