Player,Team,team_name,Elig_Pos,szn_GP_all,szn_TOI/GP_all,szn_G,szn_A,szn_SOG,szn_HIT,szn_BLK,szn_PIM,szn_FOW,l7_GP_all,l7_TOI/GP_all,l7_G,l7_A,l7_SOG,l7_HIT,l7_BLK,l7_PIM,l7_FOW,szn_GP_pp,szn_TOI/GP_pp,szn_PPP,l7_GP_pp,l7_TOI/GP_pp,l7_PPP,pos_group,T_szn_G,T_szn_A,T_szn_PPP,T_szn_SOG,T_szn_FOW,T_szn_HIT,T_szn_BLK,T_szn_PIM,T_l7_G,T_l7_A,T_l7_PPP,T_l7_SOG,T_l7_FOW,T_l7_HIT,T_l7_BLK,T_l7_PIM,Offensive_Index_szn,Banger_Index_szn,Composite_Index_szn,Offensive_Index_l7,Banger_Index_l7,Composite_Index_l7
Nic Dowd,WSH,Bros before Ahos,C;IR+,19,0:15:07,0.21,0.84,4.38,6.89,1.88,2.92,25.89,3.0,0:15:46,0.0,0.0,5.07,6.34,1.27,7.61,22.82,,,,,,,F,18,49,50,27,91,69,47,75,16,11,50,44,89,68,38,95,47.0,63.66666666666666,52.0,42.0,67.0,49.5
Brenden Dillon,N.J,,,22,0:18:56,0.29,0.72,2.59,8.06,5.62,1.87,0.0,7.0,0:18:27,0.0,0.46,2.79,7.9,4.18,1.86,0.0,,,,,,,D,71,55,50,27,50,93,78,63,26,41,50,35,50,92,53,66,50.6,78.0,58.82,40.4,70.33333333333333,49.38
Andrew Agozzino,UTA,,,2,0:06:07,0.0,0.0,0.0,19.57,4.89,0.0,14.67,,,,,,,,,,,,,,,,F,7,5,50,1,83,96,94,8,50,50,50,50,50,50,50,50,29.2,66.0,40.24,50.0,50.0,50.0
Radko Gudas,ANA,The Epstein Islanders,D,11,0:15:51,0.34,0.69,5.5,13.76,7.22,2.41,0.0,4.0,0:16:21,0.92,0.0,7.34,15.6,8.26,4.59,0.0,,,,,,,D,78,53,50,85,50,98,92,73,97,14,50,91,50,99,93,91,63.2,87.66666666666667,70.54,60.4,94.33333333333331,70.57999999999998
Chris Tanev,TOR,,,8,0:17:20,0.0,0.87,2.6,0.87,3.46,0.0,0.0,,,,,,,,,,,,,,,,D,19,65,50,27,50,13,33,6,50,50,50,50,50,50,50,50,42.2,17.333333333333332,34.739999999999995,50.0,50.0,50.0
Mats Zuccarello,MIN,Trocheck Backcheck Paycheque,RW,8,0:18:26,0.41,2.85,4.88,1.22,1.22,1.63,2.44,7.0,0:18:45,0.46,2.74,5.03,1.37,1.37,1.83,2.29,8.0,0:04:04,3.69,7.0,0:04:24,3.89,F,32,97,53,35,41,12,25,53,45,94,65,44,42,20,41,63,51.6,30.0,45.12,58.0,41.333333333333336,52.99999999999999
Calle Jarnkrok,TOR,,,16,0:11:50,1.27,0.0,5.07,4.43,0.95,1.27,1.9,6.0,0:12:55,0.0,0.0,3.87,5.42,0.77,0.0,0.77,,,,,,,F,84,5,50,38,36,50,16,44,16,11,50,28,25,62,22,17,42.6,36.66666666666666,40.82,26.0,33.666666666666664,28.3
Jason Zucker,BUF,,,14,0:14:58,1.43,1.72,8.3,5.44,0.57,1.72,3.72,2.0,0:16:24,1.83,5.49,3.66,7.32,1.83,3.66,3.66,14.0,0:03:22,5.09,,,,F,88,84,69,79,51,59,7,55,92,99,50,25,52,73,54,83,74.2,40.333333333333336,64.03999999999999,63.6,70.0,65.52
Tyler Toffoli,S.J,,,23,0:16:14,0.8,1.12,7.07,2.73,1.93,0.32,0.16,7.0,0:14:29,0.0,1.18,5.32,2.96,1.18,0.0,0.0,23.0,0:03:09,3.3,7.0,0:02:48,6.11,F,61,64,48,67,15,31,49,17,16,67,78,48,14,40,35,17,51.0,32.333333333333336,45.4,44.6,30.666666666666668,40.42
Charlie Coyle,CBJ,,,23,0:17:02,0.46,1.68,5.66,4.44,1.99,0.61,26.17,7.0,0:17:00,0.5,2.02,6.55,3.53,1.51,2.02,21.17,23.0,0:01:02,2.5,,,,F,36,83,35,47,91,50,50,25,47,87,50,62,88,46,45,66,58.4,41.66666666666666,53.38,66.8,52.333333333333336,62.46
Tyler Pitlick,MIN,,,12,0:07:54,0.0,0.0,5.69,18.33,4.42,7.58,0.0,3.0,0:09:30,0.0,0.0,6.31,10.52,2.1,0.0,0.0,,,,,,,F,7,5,50,48,12,95,92,96,16,11,50,59,14,84,61,17,24.4,94.33333333333331,45.38,30.0,54.0,37.2
Justin Faulk,STL,P Diddlers,D,23,0:23:22,0.67,0.78,4.91,2.12,5.47,1.12,0.0,7.0,0:23:02,1.12,0.74,5.58,0.74,4.46,2.23,0.0,23.0,0:02:03,7.61,7.0,0:01:39,10.39,D,97,59,85,78,50,38,76,41,98,58,88,80,50,16,58,72,73.8,51.66666666666666,67.16,74.8,48.66666666666666,66.96
Brock Nelson,COL,Bros before Ahos,C,22,0:18:29,0.89,0.89,5.31,1.92,2.21,1.77,29.8,7.0,0:17:27,1.47,1.96,6.87,1.96,0.98,0.98,34.86,22.0,0:03:01,1.8,7.0,0:01:52,4.58,F,67,52,23,42,93,21,57,56,86,87,70,65,94,28,28,46,55.4,44.66666666666666,52.17999999999999,80.4,34.0,66.48
Alex Petrovic,DAL,,,20,0:15:00,0.2,0.8,4.6,6.6,5.6,4.2,0.0,7.0,0:18:28,0.46,0.46,4.64,5.1,6.96,0.0,0.0,,,,,,,D,56,60,50,73,50,88,77,91,79,41,50,69,50,80,87,14,57.8,85.33333333333333,66.05999999999999,57.8,60.333333333333336,58.56
Nick Bjugstad,STL,,,19,0:11:12,1.13,0.28,9.01,9.86,3.94,2.82,16.05,3.0,0:11:50,0.0,0.0,8.45,10.14,3.38,3.38,8.45,,,,,,,F,79,17,50,84,84,82,88,74,16,11,50,78,72,83,83,81,62.8,81.33333333333333,68.35999999999999,45.4,82.33333333333333,56.48
Derek Forbort,VAN,,,2,0:13:55,0.0,0.0,2.15,4.31,8.61,4.31,0.0,,,,,,,,,,,,,,,,D,19,6,50,17,50,72,97,92,50,50,50,50,50,50,50,50,28.4,87.0,45.98,50.0,50.0,50.0
Kevin Hayes,PIT,,,6,0:12:48,0.0,0.78,6.25,5.47,1.56,0.0,7.03,6.0,0:12:48,0.0,0.78,6.25,5.47,1.56,0.0,7.03,,,,,,,F,7,46,50,56,67,59,36,8,16,51,50,59,67,63,47,17,45.2,34.333333333333336,41.94,48.6,42.333333333333336,46.72
Cam Fowler,STL,,,23,0:22:33,0.0,1.04,3.93,0.23,2.89,0.46,0.0,7.0,0:21:58,0.0,1.17,3.51,0.0,5.46,0.0,0.0,23.0,0:02:17,5.68,7.0,0:01:52,4.56,D,19,74,75,60,50,4,20,19,26,76,66,50,50,4,73,14,55.6,14.333333333333334,43.22,53.6,30.33333333333333,46.62
Vladimir Tarasenko,MIN,,,18,0:15:17,0.44,1.74,6.54,3.05,1.96,0.0,0.0,2.0,0:13:26,0.0,0.0,0.0,2.23,4.46,0.0,0.0,18.0,0:03:54,5.97,,,,F,35,85,76,60,12,35,50,8,16,11,50,1,14,31,91,17,53.6,31.0,46.81999999999999,18.4,46.333333333333336,26.78
Jaden Schwartz,SEA,Trocheck Backcheck Paycheque,C;LW,22,0:17:28,1.25,1.09,7.18,3.75,2.97,1.25,1.72,7.0,0:17:48,1.44,0.48,8.18,1.44,2.41,0.0,1.44,22.0,0:01:42,4.8,7.0,0:01:32,5.56,F,83,62,66,68,35,43,75,43,86,35,76,76,33,21,68,17,62.8,53.66666666666666,60.05999999999999,61.2,35.333333333333336,53.44
Jeff Skinner,S.J,,,17,0:12:21,1.14,0.86,8.28,2.28,1.14,1.71,0.57,2.0,0:07:18,0.0,0.0,4.11,8.22,0.0,0.0,0.0,17.0,0:01:53,1.87,,,,F,79,50,25,79,21,26,22,55,16,11,50,31,14,77,3,17,50.8,34.333333333333336,45.86,24.4,32.333333333333336,26.78
Zach Hyman,EDM,Jagrbombs,LW;RW,5,0:21:06,0.0,1.14,6.25,11.37,0.57,1.14,0.0,5.0,0:21:06,0.0,1.14,6.25,11.37,0.57,1.14,0.0,5.0,0:03:01,0.0,5.0,0:03:01,0.0,F,7,65,1,56,12,86,7,40,16,66,10,59,14,86,16,49,28.2,44.333333333333336,33.04,33.0,50.333333333333336,38.2
Erik Gudbranson,CBJ,,,4,0:14:50,0.0,0.0,3.03,5.05,1.01,6.06,0.0,,,,,,,,,,,,,,,,D,19,6,50,38,50,79,1,97,50,50,50,50,50,50,50,50,32.6,59.0,40.52,50.0,50.0,50.0
Taylor Hall,CAR,,,22,0:14:08,0.96,1.35,6.94,2.51,1.54,1.93,0.96,7.0,0:14:15,1.2,1.2,6.62,1.8,1.2,0.0,0.6,22.0,0:01:42,0.0,7.0,0:01:41,0.0,F,71,73,1,65,26,29,35,59,80,68,10,63,23,26,36,17,47.2,41.0,45.34,48.8,26.33333333333333,42.06
Tyler Seguin,DAL,,,22,0:17:20,1.1,0.94,4.41,2.05,0.79,0.31,17.94,7.0,0:16:34,1.55,2.07,4.14,1.55,0.0,0.0,12.41,22.0,0:02:09,2.53,7.0,0:01:26,0.0,F,77,55,36,27,86,23,12,16,88,88,10,31,80,22,3,17,56.2,17.0,44.44,59.4,14.0,45.78
Dylan McIlrath,WSH,,,2,0:12:47,0.0,0.0,2.35,11.73,2.35,0.0,0.0,1.0,0:11:30,0.0,0.0,5.22,10.43,5.22,0.0,0.0,,,,,,,D,19,6,50,21,50,97,10,6,26,14,50,76,50,96,70,14,29.2,37.66666666666666,31.739999999999995,43.2,60.0,48.24
Mikael Granlund,ANA,Jagrbombs,C;LW;RW;IR+,9,0:17:07,1.17,2.34,8.18,1.17,1.17,1.56,29.2,1.0,0:15:45,3.81,0.0,7.62,0.0,0.0,0.0,30.48,9.0,0:03:40,3.63,,,,F,80,94,53,78,92,12,23,51,99,11,50,72,93,3,3,17,79.4,28.666666666666668,64.17999999999999,65.0,7.666666666666667,47.8
Nino Niederreiter,WPG,,,21,0:14:23,0.79,1.79,6.55,5.96,1.39,1.59,0.6,7.0,0:14:22,0.6,1.79,5.96,2.38,1.19,1.19,0.6,21.0,0:01:47,7.99,7.0,0:01:31,5.61,F,61,86,86,60,21,63,30,52,53,84,76,55,23,33,35,50,62.8,48.333333333333336,58.46,58.2,39.333333333333336,52.540000000000006
Bryan Rust,PIT,Boats and Ahos,RW;IR+,19,0:20:09,0.78,1.57,7.05,0.94,3.13,0.94,0.0,7.0,0:19:59,0.43,1.29,7.72,1.72,1.72,0.0,0.0,19.0,0:02:43,8.11,7.0,0:02:55,8.79,F,60,80,87,67,12,9,78,35,43,71,87,72,14,25,51,17,61.2,40.66666666666666,55.03999999999999,57.4,31.0,49.48
Sam Carrick,NYR,,,24,0:11:42,0.21,1.07,5.13,7.69,2.99,4.06,20.08,7.0,0:09:37,0.0,0.89,0.89,7.13,3.57,8.02,19.61,,,,,,,F,18,61,50,39,88,73,76,85,16,56,50,1,87,72,85,96,51.2,78.0,59.24,42.0,84.33333333333333,54.7
Brendan Gallagher,MTL,,,21,0:13:22,0.21,1.71,7.26,4.7,0.43,2.14,0.64,7.0,0:13:58,0.61,0.61,9.2,4.3,0.61,2.45,0.61,21.0,0:01:37,3.52,7.0,0:01:51,4.63,F,18,84,51,69,22,53,4,63,54,42,71,82,23,54,17,72,48.8,40.0,46.16,54.4,47.66666666666666,52.38
John Klingberg,S.J,,,15,0:21:02,0.57,0.57,4.56,2.09,3.61,2.28,0.0,5.0,0:21:27,0.56,0.0,6.15,0.56,3.36,4.48,0.0,15.0,0:04:02,3.96,5.0,0:04:31,2.65,D,95,43,58,72,50,38,37,71,86,14,48,85,50,13,37,91,63.6,48.66666666666666,59.11999999999999,56.6,47.0,53.72
Mark Stone,VGK,Bar Down Beauties,RW;IR;IR+,6,0:18:24,1.09,5.98,10.32,1.63,2.72,0.0,0.0,,,,,,,,,,6.0,0:04:07,19.43,,,,F,77,99,99,90,12,17,70,8,50,50,50,50,50,50,50,50,75.4,31.666666666666668,62.28,50.0,50.0,50.0
Colin Blackwell,DAL,,,22,0:11:38,0.47,0.7,3.28,7.96,2.11,2.81,6.09,7.0,0:11:04,1.55,0.77,3.1,4.64,1.55,3.1,4.64,,,,,,,F,37,41,50,11,63,74,54,73,88,50,50,17,57,57,47,78,40.4,67.0,48.38,52.4,60.66666666666666,54.88
Ondrej Palat,N.J,,,22,0:12:46,0.21,0.21,5.55,8.33,4.06,0.43,0.21,7.0,0:12:30,0.0,0.0,6.17,6.86,1.37,1.37,0.0,,,,,,,F,18,13,50,46,16,76,89,20,16,11,50,58,14,71,41,54,28.6,61.66666666666666,38.52,29.8,55.333333333333336,37.46
Josh Manson,COL,P Diddlers,D,22,0:18:00,0.15,0.3,3.94,8.33,4.39,4.24,0.0,7.0,0:17:22,0.0,0.49,2.96,11.34,3.45,4.44,0.0,,,,,,,D,46,23,50,61,50,93,56,92,26,43,50,39,50,97,39,90,46.0,80.33333333333333,56.3,41.6,75.33333333333333,51.72
Dylan DeMelo,WPG,Jagrbombs,D,21,0:21:34,0.13,1.06,1.99,3.44,5.16,2.38,0.0,7.0,0:21:11,0.0,0.81,2.02,6.07,3.24,3.24,0.0,,,,,,,D,42,75,50,13,50,61,71,73,26,61,50,19,50,86,35,83,46.0,68.33333333333333,52.69999999999999,41.2,68.0,49.24
Nick Seeler,PHI,,,21,0:19:20,0.0,0.44,3.55,6.2,4.87,1.18,0.0,7.0,0:17:40,0.0,0.48,1.94,6.79,3.88,0.97,0.0,,,,,,,D,19,33,50,52,50,86,66,43,26,43,50,17,50,89,48,45,40.8,65.0,48.06,37.2,60.66666666666666,44.24
Sean Kuraly,BOS,,,24,0:13:56,0.36,0.54,5.92,3.77,3.23,3.59,20.8,7.0,0:13:15,0.0,0.0,5.82,3.23,3.88,9.05,20.68,,,,,,,F,28,31,50,51,88,43,80,82,16,11,50,54,88,43,87,97,49.6,68.33333333333333,55.22,43.8,75.66666666666667,53.36
Vincent Trocheck,NYR,Trocheck Backcheck Paycheque,C,10,0:18:51,1.27,1.27,3.82,12.41,2.55,2.55,30.55,7.0,0:20:23,1.68,0.42,4.62,13.45,1.68,1.68,31.52,10.0,0:01:09,5.16,,,,F,84,70,70,18,93,88,66,70,90,32,50,38,93,90,50,60,67.0,74.66666666666667,69.3,60.6,66.66666666666667,62.42
Adam Lowry,WPG,,,9,0:14:13,0.47,0.94,6.56,8.9,4.69,2.34,25.31,7.0,0:14:10,0.6,1.21,6.65,8.47,2.42,3.02,26.61,,,,,,,F,37,55,50,61,91,78,93,67,53,68,50,63,91,78,68,78,58.8,79.33333333333333,64.96,65.0,74.66666666666667,67.9
Nick Cousins,OTT,,,22,0:10:41,1.02,0.51,4.08,11.22,2.81,7.91,1.53,7.0,0:09:34,1.79,0.89,5.37,9.84,1.79,3.58,1.79,,,,,,,F,74,29,50,22,33,86,72,97,91,56,50,48,37,82,53,82,41.6,85.0,54.62,56.4,72.33333333333333,61.17999999999999
Blake Coleman,CGY,The Epstein Islanders,C;LW;RW,24,0:16:54,1.18,0.3,7.99,7.99,2.51,1.77,1.04,7.0,0:15:57,1.07,0.54,6.98,11.28,2.15,2.15,0.0,,,,,,,F,81,18,50,76,27,75,65,56,75,38,50,66,14,86,62,68,50.4,65.33333333333333,54.88,48.6,72.0,55.61999999999999
Jean-Gabriel Pageau,NYI,Bar Down Beauties,C;RW;IR+,22,0:15:23,1.06,1.06,3.9,5.85,4.07,0.0,34.89,6.0,0:15:27,0.65,0.0,2.59,3.88,5.18,0.0,29.76,,,,,,,F,76,61,50,19,94,62,89,8,56,11,50,11,92,50,94,17,60.0,53.0,57.9,44.0,53.66666666666666,46.89999999999999
Mike Reilly,CAR,,,19,0:16:38,0.19,0.76,6.07,1.52,4.36,1.14,0.0,7.0,0:13:29,0.0,0.0,7.62,1.27,3.18,2.54,0.0,,,,,,,D,54,58,50,89,50,26,55,42,26,14,50,92,50,27,33,76,60.2,41.0,54.44,46.4,45.333333333333336,46.08
Scott Mayfield,NYI,,,21,0:18:25,0.0,0.46,2.63,2.32,4.34,7.28,0.0,5.0,0:17:16,0.0,0.0,1.39,2.78,2.78,11.11,0.0,,,,,,,D,19,35,50,28,50,42,55,98,26,14,50,8,50,56,25,99,36.4,65.0,44.98,29.6,60.0,38.72
Boone Jenner,CBJ,Boats and Ahos,C;LW;IR;IR+,16,0:16:06,0.7,1.63,7.45,6.99,3.03,3.03,11.88,,,,,,,,,,16.0,0:01:27,5.16,,,,F,54,82,70,71,79,69,76,76,50,50,50,50,50,50,50,50,71.2,73.66666666666667,71.94,50.0,50.0,50.0
Brandon Saad,VGK,,,22,0:14:04,0.19,0.58,6.59,0.39,2.13,1.55,1.16,7.0,0:13:51,0.62,0.62,6.81,0.0,1.86,3.71,1.24,,,,,,,F,17,34,50,61,28,4,55,51,54,42,50,65,31,3,55,83,38.0,36.66666666666666,37.6,48.4,47.0,47.98
Joel Edmundson,L.A,,,23,0:17:45,0.15,1.32,4.7,3.97,3.97,1.47,0.0,7.0,0:19:18,0.44,1.33,4.0,3.11,5.33,0.0,0.0,,,,,,,D,46,85,50,75,50,68,46,52,78,81,50,59,50,61,71,14,61.2,55.333333333333336,59.44,63.6,48.66666666666666,59.11999999999999
William Karlsson,VGK,Dan's Dazzling Team,C;IR;IR+,14,0:15:08,1.13,0.85,8.49,0.85,3.68,1.13,25.75,,,,,,,,,,,,,,,,F,79,50,50,80,91,8,86,40,50,50,50,50,50,50,50,50,70.0,44.66666666666666,62.4,50.0,50.0,50.0
Nikita Kucherov,T.B,Trocheck Backcheck Paycheque,RW,20,0:20:29,1.46,2.2,8.79,0.88,0.88,0.88,0.0,7.0,0:19:39,1.31,3.49,9.16,1.74,1.31,1.74,0.0,20.0,0:04:23,4.77,7.0,0:04:04,4.21,F,89,92,66,83,12,9,14,33,83,97,68,82,14,25,39,61,68.4,18.666666666666668,53.48,68.8,41.66666666666666,60.66
Ryan Nugent-Hopkins,EDM,Bros before Ahos,C;LW;IR;IR+,16,0:18:48,1.0,2.19,4.59,1.4,0.8,0.8,7.58,,,,,,,,,,16.0,0:03:13,10.46,,,,F,73,92,93,30,69,15,12,31,50,50,50,50,50,50,50,50,71.4,19.33333333333333,55.78,50.0,50.0,50.0
Gabriel Landeskog,COL,,,22,0:14:22,0.38,0.95,6.26,6.64,0.95,3.6,3.6,7.0,0:15:21,1.12,0.56,7.25,7.81,0.0,2.23,2.23,22.0,0:01:42,0.0,7.0,0:01:35,0.0,F,30,55,1,56,50,67,16,82,77,39,10,69,41,75,3,69,38.4,55.0,43.38,47.2,49.0,47.74
Jonathan Huberdeau,CGY,The Epstein Islanders,C;LW,19,0:19:06,0.66,1.32,5.29,1.82,1.65,3.8,0.5,7.0,0:18:40,0.0,1.84,3.67,2.75,1.38,8.72,0.92,19.0,0:03:20,2.83,7.0,0:03:07,5.48,F,51,72,41,42,20,20,39,83,16,85,75,25,27,38,41,96,45.2,47.333333333333336,45.84,45.6,58.333333333333336,49.42
Adam Larsson,SEA,,,22,0:21:58,0.12,0.5,2.23,3.97,6.2,0.99,0.0,7.0,0:21:50,0.39,0.39,1.57,2.35,5.1,0.78,0.0,,,,,,,D,40,38,50,18,50,68,84,37,73,37,50,11,50,49,68,40,39.2,63.0,46.34,44.2,52.333333333333336,46.64
Ryan Strome,ANA,,,6,0:13:50,0.72,1.45,7.23,1.45,2.17,1.45,20.24,6.0,0:13:50,0.72,1.45,7.23,1.45,2.17,1.45,20.24,,,,,,,F,56,77,50,69,88,15,56,48,60,76,50,68,88,21,63,56,68.0,39.66666666666666,59.49999999999999,68.4,46.66666666666666,61.88
Mika Zibanejad,NYR,The Epstein Islanders,C;RW,24,0:20:33,0.85,0.97,8.75,3.77,2.07,0.49,20.67,7.0,0:19:23,0.88,1.77,7.51,1.77,3.09,0.0,19.01,24.0,0:02:59,5.86,7.0,0:01:43,19.86,F,64,56,75,82,88,43,53,22,68,83,97,71,87,25,79,17,73.0,39.333333333333336,62.89999999999999,81.2,40.333333333333336,68.94
Mark Scheifele,WPG,P Diddlers,C,21,0:20:18,1.55,2.39,6.89,0.7,0.84,2.25,25.31,7.0,0:20:52,0.82,2.46,5.34,0.82,0.82,4.93,30.38,21.0,0:03:17,5.2,7.0,0:02:56,2.91,F,91,94,70,65,91,7,13,65,65,92,56,48,93,12,23,89,82.2,28.33333333333333,66.03999999999999,70.8,41.333333333333336,61.96
Sean Couturier,PHI,,,20,0:17:58,0.33,1.84,4.84,2.84,2.17,1.34,27.88,7.0,0:16:50,0.0,1.53,4.58,3.05,1.53,0.0,26.47,20.0,0:01:38,0.0,,,,F,26,87,1,34,92,33,56,46,16,78,50,38,91,41,46,17,48.0,45.0,47.1,54.6,34.666666666666664,48.62
Dougie Hamilton,N.J,Bar Down Beauties,D,18,0:21:03,0.63,0.47,7.12,3.01,3.17,1.9,0.0,4.0,0:21:20,0.0,0.0,7.03,2.81,1.41,2.81,0.0,18.0,0:02:14,5.95,4.0,0:02:40,0.0,D,97,36,76,95,50,55,26,63,26,14,8,90,50,57,4,79,70.8,48.0,63.96,37.6,46.66666666666666,40.32
Jonas Brodin,MIN,,,22,0:21:56,0.25,0.5,2.98,0.75,5.47,0.5,0.0,7.0,0:23:09,0.0,0.37,3.7,0.74,5.55,0.74,0.0,,,,,,,D,65,38,50,37,50,11,76,20,26,36,50,54,50,16,74,38,48.0,35.666666666666664,44.3,43.2,42.66666666666666,43.04
Jamie Oleksiak,SEA,,,22,0:16:27,0.33,0.5,4.14,5.14,4.81,1.33,0.0,7.0,0:16:21,0.0,1.57,6.29,3.67,3.67,2.1,0.0,,,,,,,D,77,38,50,65,50,79,64,48,26,86,50,86,50,68,43,70,56.0,63.66666666666666,58.3,59.6,60.333333333333336,59.82
J.T. Miller,NYR,Autodraft Anomalies,C;RW;IR+,22,0:20:41,0.79,0.79,6.72,7.12,1.05,0.79,26.76,5.0,0:20:39,1.74,0.58,4.07,5.81,1.16,0.0,16.84,22.0,0:03:01,3.6,,,,F,61,46,52,63,91,70,19,30,91,40,50,30,85,65,34,17,62.6,39.66666666666666,55.72,59.2,38.66666666666666,53.04
Joel Armia,L.A,,,23,0:13:45,0.95,1.14,5.12,3.98,1.9,2.28,0.57,7.0,0:13:23,1.92,0.64,5.76,3.84,1.28,1.28,0.0,,,,,,,F,70,65,50,39,21,46,48,66,93,44,50,53,14,49,38,52,49.0,53.333333333333336,50.3,50.8,46.333333333333336,49.46
Connor Murphy,CHI,,,22,0:14:46,0.0,0.55,3.51,3.51,3.69,2.58,0.0,7.0,0:15:05,0.0,0.0,1.7,5.11,3.41,3.41,0.0,,,,,,,D,19,42,50,51,50,62,39,76,26,14,50,13,50,81,38,85,42.4,59.0,47.38,30.6,68.0,41.81999999999999
Stefan Noesen,N.J,,,16,0:11:45,0.32,0.64,6.06,5.74,2.23,4.15,2.23,7.0,0:12:33,0.0,1.36,5.46,4.78,1.36,6.14,1.36,16.0,0:01:09,0.0,7.0,0:01:34,0.0,F,25,37,1,53,40,61,58,86,16,73,10,49,32,58,41,93,31.2,68.33333333333333,42.34,36.0,64.0,44.4
Phillip Danault,L.A,,,23,0:16:50,0.0,0.62,5.58,2.94,1.24,0.93,26.64,7.0,0:16:51,0.0,0.51,7.62,2.03,2.54,0.0,22.37,23.0,0:01:41,0.0,7.0,0:01:56,0.0,F,7,36,1,46,91,34,25,35,16,37,10,72,89,29,71,17,36.2,31.33333333333333,34.739999999999995,44.8,39.0,43.06
Vladislav Namestnikov,WPG,,,21,0:15:24,1.11,0.19,6.12,4.64,2.6,1.11,6.31,7.0,0:14:55,0.0,0.0,4.02,6.32,2.3,1.15,1.72,21.0,0:01:44,3.28,7.0,0:01:26,0.0,F,78,12,48,54,64,52,67,40,16,11,10,30,36,68,66,50,51.2,53.0,51.74,20.6,61.333333333333336,32.82
Rickard Rakell,PIT,P Diddlers,C;LW;RW;IR;IR+,9,0:17:44,1.13,1.88,6.39,3.38,3.76,0.75,0.38,,,,,,,,,,9.0,0:02:15,8.87,,,,F,79,87,89,58,18,39,87,29,50,50,50,50,50,50,50,50,66.2,51.66666666666666,61.84,50.0,50.0,50.0
Colin Miller,WPG,,,6,0:13:15,0.0,0.0,4.52,8.29,3.77,1.51,0.0,2.0,0:16:43,0.0,0.0,8.96,3.59,5.38,0.0,0.0,,,,,,,D,19,6,50,72,50,93,41,53,26,14,50,96,50,67,72,14,39.4,62.333333333333336,46.28,47.2,51.0,48.34
Jonathan Marchessault,NSH,,,19,0:17:47,0.71,0.35,7.81,5.86,0.53,1.06,0.89,7.0,0:17:19,0.0,0.0,6.43,4.95,0.99,0.99,0.99,19.0,0:03:11,1.98,7.0,0:02:51,0.0,F,55,20,27,75,25,62,6,38,16,11,10,61,28,59,29,46,40.4,35.333333333333336,38.88,25.2,44.66666666666666,31.04
Barclay Goodrow,S.J,,,23,0:12:07,0.22,0.43,4.09,7.1,3.87,1.29,1.08,7.0,0:13:11,0.65,0.65,3.25,5.85,4.55,3.9,1.3,,,,,,,F,18,25,50,22,27,70,88,44,56,44,50,19,32,65,92,84,28.4,67.33333333333333,40.08,40.2,80.33333333333333,52.24
Luke Glendening,N.J,,,22,0:10:19,0.0,0.79,3.7,7.66,4.49,0.53,36.97,7.0,0:10:12,0.0,0.0,3.36,6.72,1.68,0.0,38.63,,,,,,,F,7,46,50,17,95,73,92,23,16,11,50,21,95,70,50,17,43.0,62.66666666666666,48.89999999999999,38.6,45.66666666666666,40.72
Yanni Gourde,T.B,,,22,0:16:12,0.5,0.5,5.72,5.22,2.02,2.69,14.81,7.0,0:16:37,0.0,1.03,3.61,4.13,3.09,4.13,18.05,,,,,,,F,39,29,50,48,83,57,51,72,16,62,50,24,86,52,79,86,49.8,60.0,52.85999999999999,47.6,72.33333333333333,55.02
Morgan Rielly,TOR,Dan's Dazzling Team,D,21,0:22:11,0.39,1.8,5.41,1.42,3.22,0.26,0.0,7.0,0:23:19,0.37,1.47,5.51,1.47,4.41,0.0,0.0,21.0,0:02:42,3.17,7.0,0:02:43,6.3,D,83,95,48,84,50,24,28,13,71,84,76,79,50,32,58,14,72.0,21.666666666666668,56.9,72.0,34.666666666666664,60.8
Hampus Lindholm,BOS,,,16,0:21:25,0.18,1.05,4.2,0.53,4.03,2.8,0.0,7.0,0:23:34,0.36,1.09,4.36,0.73,4.0,2.18,0.0,16.0,0:01:58,5.71,7.0,0:02:48,9.18,D,52,75,75,66,50,7,47,79,71,73,85,65,50,16,50,71,63.6,44.333333333333336,57.81999999999999,68.8,45.66666666666666,61.86
Mathew Dumba,PIT,,,7,0:14:35,0.0,1.17,2.35,7.64,3.52,6.46,0.0,2.0,0:13:30,0.0,2.22,2.22,8.88,4.44,0.0,0.0,,,,,,,D,19,80,50,21,50,91,35,98,26,95,50,23,50,94,58,14,44.0,74.66666666666667,53.2,48.8,55.333333333333336,50.76
Brendan Gaunce,CBJ,,,2,0:11:37,0.0,2.58,7.74,7.74,5.16,10.32,23.21,2.0,0:11:37,0.0,2.58,7.74,7.74,5.16,10.32,23.21,,,,,,,F,7,95,50,74,90,73,95,98,16,93,50,73,90,75,94,98,63.2,88.66666666666667,70.84,64.4,89.0,71.78
Brady Skjei,NSH,,,22,0:22:42,0.0,0.72,4.32,1.92,1.92,0.96,0.0,7.0,0:20:53,0.0,0.82,5.33,1.64,1.64,1.64,0.0,22.0,0:02:05,2.62,7.0,0:01:41,5.07,D,19,55,39,68,50,34,5,36,26,62,69,77,50,35,7,62,46.2,25.0,39.84,56.8,34.666666666666664,50.16
