Player,Team,team_name,Elig_Pos,szn_GP_all,szn_TOI/GP_all,szn_G,szn_A,szn_SOG,szn_HIT,szn_BLK,szn_PIM,szn_FOW,l7_GP_all,l7_TOI/GP_all,l7_G,l7_A,l7_SOG,l7_HIT,l7_BLK,l7_PIM,l7_FOW,szn_GP_pp,szn_TOI/GP_pp,szn_PPP,l7_GP_pp,l7_TOI/GP_pp,l7_PPP,pos_group,T_szn_G,T_szn_A,T_szn_PPP,T_szn_SOG,T_szn_FOW,T_szn_HIT,T_szn_BLK,T_szn_PIM,T_l7_G,T_l7_A,T_l7_PPP,T_l7_SOG,T_l7_FOW,T_l7_HIT,T_l7_BLK,T_l7_PIM,Offensive_Index_szn,Banger_Index_szn,Composite_Index_szn,Offensive_Index_l7,Banger_Index_l7,Composite_Index_l7
Jonathan Toews,WPG,,,21,0:16:16,0.53,0.88,5.09,0.7,2.46,1.75,34.75,7.0,0:16:15,0.53,0.0,5.27,1.58,1.58,0.0,34.79,21.0,0:01:55,4.45,7.0,0:01:44,0.0,F,42,51,63,38,94,7,64,55,49,11,10,47,94,23,47,17,57.6,42.0,52.92,42.2,29.0,38.24
Alex Killorn,ANA,,,22,0:16:35,0.16,0.99,5.92,3.45,1.81,0.66,3.12,7.0,0:16:33,0.0,1.04,5.18,4.14,1.55,1.04,3.11,22.0,0:01:46,1.54,7.0,0:01:30,0.0,F,15,57,19,51,47,40,45,27,16,62,10,46,48,52,47,47,37.8,37.333333333333336,37.66,36.4,48.66666666666666,40.08
Jamie Benn,DAL,Hughes your daddy,C;LW,3,0:11:47,0.0,1.7,6.79,13.57,0.0,3.39,11.88,3.0,0:11:47,0.0,1.7,6.79,13.57,0.0,3.39,11.88,,,,,,,F,7,84,50,63,79,90,1,80,16,82,50,64,79,90,3,81,56.6,57.0,56.72,58.2,58.0,58.14
Ian Cole,UTA,,,23,0:18:56,0.14,1.1,2.75,3.58,6.34,1.65,0.0,7.0,0:20:36,0.0,0.83,2.91,1.66,4.58,0.83,0.0,,,,,,,D,44,77,50,31,50,63,86,57,26,62,50,38,50,36,60,41,50.4,68.66666666666667,55.88,45.2,45.66666666666666,45.34
James van Riemsdyk,DET,,,18,0:11:48,0.56,0.28,6.77,0.85,3.1,1.69,0.28,5.0,0:11:00,1.09,0.0,8.72,3.27,2.18,0.0,0.0,18.0,0:01:37,2.04,,,,F,44,17,28,63,17,8,77,54,76,11,50,79,14,44,63,17,33.8,46.333333333333336,37.56,46.0,41.333333333333336,44.6
David Perron,OTT,,,22,0:14:17,0.38,1.53,4.58,5.15,1.53,1.53,0.0,7.0,0:14:07,0.0,1.21,4.86,4.25,1.82,0.0,0.0,22.0,0:02:09,6.32,7.0,0:02:06,4.06,F,30,79,78,30,12,57,35,50,16,68,67,41,14,53,54,17,45.8,47.333333333333336,46.26,41.2,41.333333333333336,41.24
Patrick Kane,DET,Trocheck Backcheck Paycheque,RW,14,0:17:18,0.74,2.23,10.15,0.99,0.74,0.99,0.0,7.0,0:17:16,0.5,2.98,10.41,0.5,0.99,1.98,0.0,14.0,0:03:55,6.56,7.0,0:03:22,7.61,F,57,92,80,90,12,10,10,36,47,96,84,87,14,8,29,65,66.2,18.666666666666668,51.94,65.6,34.0,56.11999999999999
Evgenii Dadonov,N.J,,,5,0:11:03,0.0,0.0,7.59,2.17,4.34,0.0,0.0,4.0,0:11:26,0.0,0.0,6.55,2.62,2.62,0.0,0.0,,,,,,,F,7,5,50,73,12,24,91,8,16,11,50,62,14,36,72,17,29.4,41.0,32.879999999999995,30.6,41.66666666666666,33.919999999999995
Mikael Backlund,CGY,,,24,0:16:51,0.59,1.34,8.01,2.37,0.74,0.59,33.38,7.0,0:17:32,0.49,2.44,5.87,1.96,0.49,0.0,33.24,,,,7.0,0:01:35,0.0,F,46,73,50,77,94,27,10,25,47,92,10,54,93,28,13,17,68.0,20.666666666666668,53.8,59.2,19.33333333333333,47.24
Ryan McDonagh,T.B,,,15,0:20:09,0.6,0.6,2.98,1.59,5.16,0.0,0.0,,,,,,,,,,,,,,,,D,96,46,50,37,50,27,71,6,50,50,50,50,50,50,50,50,55.8,34.666666666666664,49.46,50.0,50.0,50.0
Lars Eller,OTT,,,22,0:13:36,0.4,0.8,4.21,3.01,3.01,0.8,25.06,7.0,0:13:24,0.0,0.0,3.84,1.28,1.92,2.56,21.09,22.0,0:01:21,0.0,,,,F,32,47,1,24,91,35,76,31,16,11,50,27,88,19,57,73,39.0,47.333333333333336,41.5,38.4,49.66666666666666,41.78
Drew Doughty,L.A,Bar Down Beauties,D;IR;IR+,19,0:22:32,0.28,0.84,3.36,1.54,4.2,0.56,0.0,3.0,0:18:07,0.0,2.21,1.1,1.1,5.52,0.0,0.0,19.0,0:01:33,0.0,,,,D,69,63,2,47,50,26,51,22,26,94,50,5,50,24,74,14,46.2,33.0,42.24,45.0,37.333333333333336,42.7
Steven Stamkos,NSH,The Epstein Islanders,C;LW;RW,22,0:17:26,0.63,0.16,6.57,2.5,1.56,2.5,12.51,7.0,0:17:30,0.98,0.0,4.9,3.92,0.98,1.96,17.63,22.0,0:03:23,1.6,7.0,0:03:01,2.84,F,49,11,20,61,80,29,36,69,72,11,56,42,86,50,28,65,44.2,44.66666666666666,44.34,53.4,47.66666666666666,51.67999999999999
Zach Bogosian,MIN,,,7,0:14:44,0.0,0.0,4.07,5.23,5.81,0.0,0.0,2.0,0:16:54,0.0,0.0,3.55,5.32,1.77,0.0,0.0,,,,,,,D,19,6,50,63,50,80,80,6,26,14,50,51,50,82,8,14,37.6,55.333333333333336,42.92,38.2,34.666666666666664,37.14
Luke Schenn,WPG,,,16,0:13:25,0.0,0.56,3.63,9.78,5.87,3.35,0.0,5.0,0:13:54,0.0,1.73,6.04,7.77,6.04,0.0,0.0,,,,,,,D,19,43,50,54,50,96,81,86,26,89,50,84,50,92,79,14,43.2,87.66666666666667,56.54,59.8,61.66666666666666,60.35999999999999
Tyler Myers,VAN,,,23,0:20:45,0.13,0.63,3.39,3.9,6.16,2.26,0.0,7.0,0:20:02,0.0,0.86,1.28,5.13,6.84,3.42,0.0,,,,,,,D,42,48,50,48,50,67,84,71,26,64,50,7,50,81,86,85,47.6,74.0,55.52,39.4,84.0,52.78
Erik Karlsson,PIT,robert's Fabulous Team,D,21,0:23:36,0.12,1.45,4.84,0.0,2.78,0.73,0.0,7.0,0:24:27,0.0,0.7,4.91,0.0,2.8,0.7,0.0,21.0,0:02:47,3.06,7.0,0:03:00,2.84,D,40,89,46,77,50,2,18,28,26,55,50,73,50,4,26,37,60.4,16.0,47.07999999999999,50.8,22.33333333333333,42.25999999999999
Jordan Eberle,SEA,,,22,0:19:40,1.11,0.83,7.9,3.05,1.39,1.39,1.11,7.0,0:19:28,1.32,0.0,7.05,3.08,2.2,0.88,0.44,22.0,0:02:55,4.67,7.0,0:02:28,3.45,F,78,48,65,76,28,35,30,47,83,11,62,67,20,41,64,43,59.0,37.333333333333336,52.5,48.6,49.333333333333336,48.81999999999999
John Carlson,WSH,Trocheck Backcheck Paycheque,D,22,0:23:10,0.59,1.88,6.0,0.94,3.77,0.71,0.0,6.0,0:22:34,0.44,3.1,6.64,0.44,2.66,0.89,0.0,22.0,0:03:31,3.87,6.0,0:02:44,0.0,D,96,95,57,89,50,14,41,27,78,98,8,88,50,10,23,43,77.4,27.33333333333333,62.38,64.4,25.33333333333333,52.68
Roman Josi,NSH,Jagrbombs,D,10,0:23:32,0.25,1.27,7.39,1.27,4.08,1.53,0.0,2.0,0:21:20,0.0,1.41,14.06,1.41,1.41,0.0,0.0,10.0,0:03:45,3.2,,,,D,65,84,48,96,50,21,49,54,26,83,50,99,50,30,4,14,68.6,41.333333333333336,60.42,61.6,16.0,47.92
Travis Hamonic,DET,,,14,0:14:30,0.0,0.3,3.84,4.14,5.62,4.73,0.0,5.0,0:15:36,0.0,0.0,2.31,6.92,6.15,1.54,0.0,,,,,,,D,19,23,50,58,50,70,78,94,26,14,50,25,50,89,80,60,40.0,80.66666666666667,52.2,33.0,76.33333333333333,46.0
Adam Henrique,EDM,,,24,0:14:25,0.35,0.87,6.41,2.43,5.54,0.35,23.21,7.0,0:16:07,0.0,0.53,5.85,3.72,4.79,0.0,21.8,,,,7.0,0:01:29,0.0,F,28,51,50,58,90,28,97,18,16,38,10,54,89,48,93,17,55.4,47.66666666666666,53.07999999999999,41.4,52.66666666666666,44.78
Gustav Nyquist,WPG,,,16,0:12:20,0.0,1.82,6.38,2.43,2.43,0.61,1.52,5.0,0:12:22,0.0,0.97,6.79,1.94,2.91,1.94,0.0,16.0,0:01:33,7.23,,,,F,7,86,83,58,32,28,63,25,16,59,50,64,14,27,77,65,53.2,38.66666666666666,48.84,40.6,56.333333333333336,45.31999999999999
Jared Spurgeon,MIN,,,23,0:21:06,0.12,0.37,2.84,4.08,4.95,0.49,0.0,7.0,0:20:21,0.0,0.0,1.68,2.11,5.05,1.68,0.0,23.0,0:02:26,3.2,7.0,0:01:48,0.0,D,40,28,48,33,50,69,67,20,26,14,8,13,50,45,68,63,39.8,52.0,43.46,22.2,58.66666666666666,33.14
Marcus Johansson,MIN,Bar Down Beauties,LW,23,0:15:50,1.32,1.81,5.93,1.81,1.15,0.99,0.82,7.0,0:15:22,1.11,1.67,4.46,1.67,1.11,2.23,0.56,23.0,0:01:24,9.3,7.0,0:01:28,0.0,F,85,86,90,52,24,20,22,36,77,81,10,36,22,24,33,69,67.4,26.0,54.98,45.2,42.0,44.24
Kyle Palmieri,NYI,Boats and Ahos,RW,23,0:19:07,0.82,1.5,8.86,2.32,1.23,1.09,0.27,7.0,0:19:00,0.45,1.35,8.12,0.45,0.9,0.0,0.0,23.0,0:03:39,3.56,7.0,0:03:24,0.0,F,62,78,52,83,16,26,25,39,44,73,10,75,14,8,26,17,58.2,30.0,49.74,43.2,17.0,35.34
Ryan O'Reilly,NSH,Boats and Ahos,C,22,0:19:25,0.84,0.98,5.33,0.98,2.53,0.0,32.01,7.0,0:19:23,0.44,1.33,6.19,0.44,1.77,0.0,32.28,22.0,0:02:52,1.9,7.0,0:02:06,0.0,F,64,57,25,42,93,10,66,8,44,72,10,58,93,8,53,17,56.2,28.0,47.74,55.4,26.0,46.57999999999999
John Tavares,TOR,Autodraft Anomalies,C,22,0:18:35,1.76,2.2,9.68,3.23,0.73,0.88,33.3,7.0,0:21:13,1.61,1.61,9.69,3.23,0.4,1.61,37.95,22.0,0:03:09,3.45,7.0,0:03:31,2.44,F,94,92,50,88,94,37,10,33,89,80,51,84,95,43,11,59,83.6,26.666666666666668,66.51999999999998,79.8,37.66666666666666,67.16
Victor Hedman,T.B,Autodraft Anomalies,D;IR;IR+,15,0:22:35,0.0,2.12,4.07,1.24,4.96,0.71,0.0,,,,,,,,,,15.0,0:03:47,6.32,,,,D,19,97,79,63,50,20,67,27,50,50,50,50,50,50,50,50,61.6,38.0,54.52,50.0,50.0,50.0
Matt Duchene,DAL,,,4,0:14:26,1.04,1.04,3.12,2.08,4.15,0.0,12.46,,,,,,,,,,,,,,,,F,75,60,50,10,80,23,90,8,50,50,50,50,50,50,50,50,55.0,40.333333333333336,50.6,50.0,50.0,50.0
Evander Kane,VAN,Jagrbombs,LW,23,0:18:00,0.43,1.16,9.56,6.37,1.59,5.22,0.58,7.0,0:19:01,0.0,1.35,7.66,5.41,0.9,3.6,0.45,23.0,0:02:00,3.9,7.0,0:02:03,4.17,F,34,65,56,87,21,66,37,91,16,73,68,72,21,62,26,82,52.6,64.66666666666667,56.22,50.0,56.66666666666666,52.0
