cname,name,positions,team_name,reason
aleksei kolosov,Aleksei Kolosov,G,,Position match failed
frank nazar,Frank Nazar,C;IR;IR+,,Position match failed
kandre miller,K'Andre Miller,D;IR+,,Position match failed
matt tkachuk,Matthew Tkachuk,LW;RW;IR;IR+,Dan's Dazzling Team,Missing from NST (Injured/AHL?)
nico daws,Nico Daws,G,,Position match failed
tanner jeannot,Tanner Jeannot,LW;RW;IR+,,Position match failed
travis sanheim,Travis Sanheim,D;IR+,,Position match failed
