Player,Team,Position,player_key,status,Elig_Pos,szn_GP,szn_W,szn_GA,szn_GAA,szn_SA,szn_SV,szn_SV%,szn_SHO,szn_TOI,l7_GP,l7_W,l7_GA,l7_GAA,l7_SA,l7_SV,l7_SV%,l7_SHO,l7_TOI
Pyotr Kochetkov,CAR,G,,,,8,6,19,2.33,189,170,0.899,1,08:10:09,,,,,,,,,-
Jake Allen,NJ,G,,,,20,11,52,2.52,592,540,0.912,1,20:38:42,1.0,1.0,2.0,2.01,35.0,33.0,0.943,0.0,00:59:41
Aleksei Kolosov,PHI,G,,,,1,0,2,1.62,28,26,0.929,0,01:13:53,,,,,,,,,-
Artur Akhtyamov,TOR,G,,,,0,0,0,0.0,5,5,1.0,0,00:10:32,,,,,,,,,-
Matt Murray,SEA,G,,,,4,0,8,2.21,102,94,0.922,0,03:36:53,,,,,,,,,-
Akira Schmid,VGK,G,,,,17,11,48,2.5,459,411,0.895,2,19:12:52,1.0,0.0,4.0,2.73,34.0,30.0,0.882,0.0,01:27:56
Devin Cooley,CGY,G,,,,10,4,28,2.4,327,299,0.914,0,11:39:37,,,,,,,,,-
Trent Miner,COL,G,,,,1,0,4,2.12,44,40,0.909,0,01:53:13,,,,,,,,,-
Brandon Halverson,TB,G,,,,0,0,0,0.0,0,0,,0,00:00:06,,,,,,,,,-
Tristan Jarry,EDM,G,,,,16,12,44,2.73,467,423,0.906,1,16:06:48,,,,,,,,,-
Sergei Murashov,PIT,G,,,,4,1,12,2.56,116,104,0.897,1,04:41:17,,,,,,,,,-
