Player,Team,team_name,Elig_Pos,szn_GP,szn_GA,szn_SV%,szn_GAA,l7_GP,l7_GA,l7_SV%,l7_GAA,T_szn_GA,T_szn_SV%,T_szn_GAA,T_l7_GA,T_l7_SV%,T_l7_GAA,Goalie_Index_szn,Goalie_Index_l7
Ilya Samsonov,VGK,,,29,82,0.891,2.82,1.0,4.0,0.857,3.71,31,52,53,79,20,24,45.333333333333336,41.0
Adin Hill,VGK,Boats and Ahos,G;IR;IR+,50,121,0.906,2.47,3.0,6.0,0.905,2.0,22,66,69,60,57,70,52.333333333333336,62.333333333333336
Ales Stezka,SEA,,,1,3,0.87,3.09,,,,,96,32,42,50,50,50,56.66666666666666,50.0
Karel Vejmelka,UTA,P Diddlers,G,58,145,0.904,2.58,6.0,17.0,0.89,2.81,18,65,64,11,44,45,49.0,33.333333333333336
Ivan Fedotov,PHI,,,26,75,0.88,3.15,2.0,5.0,0.907,2.47,33,41,40,69,59,55,38.0,61.0
Joey Daccord,SEA,P Diddlers,G,57,151,0.906,2.75,6.0,17.0,0.89,3.05,17,66,57,11,44,39,46.66666666666666,31.33333333333333
Connor Ingram,UTA,,,22,66,0.882,3.27,,,,,37,43,35,50,50,50,38.333333333333336,50.0
Casey DeSmith,DAL,The Epstein Islanders,G,27,65,0.915,2.59,4.0,15.0,0.872,4.44,37,74,64,15,30,14,58.333333333333336,19.666666666666668
Charlie Lindgren,WSH,,,39,104,0.895,2.73,5.0,16.0,0.881,3.15,25,56,57,13,37,36,46.0,28.666666666666668
Alex Lyon,DET,,,30,73,0.896,2.81,2.0,5.0,0.902,2.43,34,57,54,69,55,56,48.333333333333336,60.0
Joseph Woll,TOR,The Epstein Islanders,G,42,111,0.909,2.73,3.0,6.0,0.938,2.03,24,69,57,60,81,69,50.0,70.0
Filip Gustavsson,MIN,Hughes your daddy,G,58,146,0.914,2.56,6.0,18.0,0.886,3.11,18,73,65,10,41,37,52.0,29.33333333333333
David Rittich,L.A,,,34,88,0.886,2.84,3.0,10.0,0.853,4.58,29,47,53,33,17,12,43.0,20.666666666666668
Stuart Skinner,EDM,Trocheck Backcheck Paycheque,G,51,137,0.897,2.79,2.0,1.0,0.972,0.5,19,58,55,98,95,99,44.0,97.33333333333331
Jake Oettinger,DAL,Autodraft Anomalies,G,58,147,0.909,2.59,4.0,17.0,0.873,4.63,18,69,64,11,30,12,50.333333333333336,17.666666666666668
Ukko-Pekka Luukkonen,BUF,,,55,169,0.887,3.2,3.0,8.0,0.906,2.61,15,48,38,45,58,51,33.666666666666664,51.333333333333336
Cayden Primeau,MTL,,,11,41,0.836,4.7,,,,,51,10,6,50,50,50,22.33333333333333,50.0
Matt Villalta,UTA,,,1,3,0.903,3.0,1.0,3.0,0.903,3.0,96,64,46,87,56,40,68.66666666666667,61.0
Daniil Tarasov,CBJ,,,20,65,0.881,3.54,,,,,37,42,26,50,50,50,35.0,50.0
Jeremy Swayman,BOS,Jagrbombs,G,58,176,0.892,3.11,5.0,15.0,0.891,3.03,14,53,41,15,45,39,36.0,33.0
Logan Thompson,WSH,Bar Down Beauties,G,43,105,0.91,2.49,,,,,25,70,68,50,50,50,54.333333333333336,50.0
Alexandar Georgiev,"COL, S.J",,,49,165,0.875,3.71,,,,,16,37,22,50,50,50,25.0,50.0
Jakub Skarek,NYI,,,2,5,0.872,3.94,,,,,93,34,16,50,50,50,47.66666666666666,50.0
Lukas Dostal,ANA,Trocheck Backcheck Paycheque,G,54,158,0.903,3.1,5.0,20.0,0.88,3.95,16,64,42,7,36,20,40.66666666666666,21.0
Olivier Rodrigue,EDM,,,2,4,0.862,3.1,1.0,3.0,0.857,3.13,94,25,42,87,20,37,53.66666666666666,48.0
Kevin Lankinen,VAN,,,51,132,0.902,2.62,4.0,8.0,0.933,2.17,20,63,62,45,78,65,48.333333333333336,62.66666666666666
Joel Hofer,STL,,,31,74,0.904,2.64,2.0,6.0,0.887,3.01,34,65,61,60,42,40,53.333333333333336,47.333333333333336
Justus Annunen,"COL, NSH",,,34,95,0.883,3.18,,,,,27,44,39,50,50,50,36.66666666666666,50.0
Akira Schmid,VGK,,,5,5,0.944,1.26,3.0,5.0,0.934,1.58,93,91,98,69,79,83,94.0,77.0
Samuel Ersson,PHI,,,47,136,0.883,3.14,3.0,9.0,0.91,2.99,19,44,40,38,61,40,34.333333333333336,46.333333333333336
Spencer Knight,"CHI, FLA",robert's Fabulous Team,G,38,100,0.901,2.72,,,,,26,62,58,50,50,50,48.66666666666666,50.0
Trent Miner,COL,,,2,4,0.879,2.62,,,,,94,40,62,50,50,50,65.33333333333333,50.0
Mads Sogaard,OTT,,,2,8,0.8,5.24,,,,,88,2,3,50,50,50,31.0,50.0
Pyotr Kochetkov,CAR,Boats and Ahos,G,47,121,0.897,2.6,3.0,9.0,0.871,3.01,22,58,63,38,29,40,47.66666666666666,35.666666666666664
Arturs Silovs,VAN,,,10,33,0.861,3.65,,,,,57,25,23,50,50,50,35.0,50.0
Dustin Wolf,CGY,The Epstein Islanders,G,53,140,0.91,2.64,6.0,17.0,0.904,2.75,19,70,61,11,56,47,50.0,38.0
Erik Portillo,L.A,,,1,1,0.966,1.02,,,,,99,97,99,50,50,50,98.33333333333331,50.0
Nico Daws,N.J,,,6,7,0.939,1.6,1.0,4.0,0.846,4.13,89,89,95,79,14,18,91.0,37.0
Drew Commesso,CHI,,,2,4,0.846,3.36,,,,,94,15,32,50,50,50,47.0,50.0
Yaroslav Askarov,S.J,Hughes your daddy,G,13,37,0.896,3.1,,,,,54,57,42,50,50,50,51.0,50.0
Devon Levi,BUF,,,9,33,0.872,4.12,,,,,57,34,13,50,50,50,34.666666666666664,50.0
Hunter Shepard,WSH,,,1,7,0.731,7.0,1.0,7.0,0.731,7.0,89,1,1,52,1,2,30.33333333333333,18.33333333333333
Joel Blomqvist,PIT,,,15,49,0.885,3.81,,,,,45,46,19,50,50,50,36.66666666666666,50.0
Leevi Merilainen,OTT,,,12,22,0.925,1.99,,,,,68,81,87,50,50,50,78.66666666666667,50.0
Jakub Dobes,MTL,,,16,40,0.909,2.74,2.0,2.0,0.972,1.0,51,69,57,94,95,95,59.0,94.66666666666669
Sebastian Cossa,DET,,,1,2,0.857,2.67,,,,,97,22,60,50,50,50,59.66666666666666,50.0
Jesper Wallstedt,MIN,Sask Squatches,G,2,8,0.843,4.09,,,,,88,13,13,50,50,50,38.0,50.0
Aleksei Kolosov,PHI,,,17,54,0.867,3.59,2.0,9.0,0.847,4.54,43,29,25,38,14,13,32.333333333333336,21.666666666666668
Arvid Soderblom,CHI,,,36,111,0.898,3.18,2.0,5.0,0.907,2.4,24,59,39,69,59,57,40.66666666666666,61.66666666666666
Jet Greaves,CBJ,,,11,21,0.938,1.91,5.0,4.0,0.975,0.8,69,89,89,79,95,97,82.33333333333333,90.33333333333331
Jaxson Stauber,UTA,,,6,17,0.892,3.26,,,,,74,53,36,50,50,50,54.333333333333336,50.0
Clay Stevenson,WSH,,,1,5,0.868,5.0,1.0,5.0,0.868,5.0,93,30,4,69,27,9,42.333333333333336,35.0
Nikke Kokko,SEA,,,1,2,0.667,4.01,,,,,97,1,15,50,50,50,37.66666666666666,50.0
Dennis Hildeby,TOR,,,6,20,0.873,3.33,,,,,70,35,33,50,50,50,46.0,50.0
Nikita Tolopilo,VAN,,,2,3,0.885,2.15,2.0,3.0,0.885,2.15,96,46,81,87,40,65,74.33333333333333,64.0
Georgi Romanov,S.J,,,8,27,0.877,3.89,4.0,11.0,0.895,3.25,63,38,17,28,49,34,39.333333333333336,37.0
Victor Ostman,SEA,,,1,0,1.0,0.0,1.0,0.0,1.0,0.0,99,99,99,99,98,99,99.0,98.66666666666669
