Player,Team,Position,szn_GP_all,szn_TOI/GP_all,szn_G,szn_A,szn_SOG,szn_HIT,szn_BLK,szn_PIM,szn_FOW,l7_GP_all,l7_TOI/GP_all,l7_G,l7_A,l7_SOG,l7_HIT,l7_BLK,l7_PIM,l7_FOW,szn_GP_pp,szn_TOI/GP_pp,szn_PPP,l7_GP_pp,l7_TOI/GP_pp,l7_PPP
Logan Cooley,UTA,C,12,00:18:45,2.13,1.07,7.2,2.93,1.6,1.6,17.59,7.0,00:17:55,3.35,1.44,9.09,2.39,1.91,0.96,22.0,12.0,00:04:06,4.87,7.0,00:03:44,6.87
Cutter Gauthier,ANA,L,11,00:18:16,2.09,1.49,15.51,3.58,1.19,2.98,2.09,7.0,00:17:55,1.91,2.39,14.34,2.87,0.96,3.82,2.87,11.0,00:02:28,4.42,7.0,00:02:44,6.24
Conor Geekie,T.B,C,6,00:10:01,0.0,1.0,4.99,14.96,4.99,3.99,7.98,1.0,00:13:49,0.0,0.0,4.34,4.34,4.34,0.0,4.34,,,,,,
Ryan Greene,CHI,C,12,00:13:01,0.38,0.77,1.92,1.92,1.15,0.77,15.73,7.0,00:13:59,0.0,1.23,2.45,1.23,1.23,0.0,15.32,,,,,,
Hunter Haight,MIN,C,2,00:09:22,0.0,0.0,0.0,6.41,0.0,0.0,22.42,,,,,,,,,,,,,,,
Isaac Howard,EDM,L,12,00:09:51,1.01,0.51,7.61,0.51,0.51,4.06,0.0,7.0,00:09:55,1.73,0.86,7.78,0.86,0.0,6.91,0.0,,,,,,
Lane Hutson,MTL,D,12,00:22:33,0.22,2.22,3.33,1.77,3.99,0.0,0.0,7.0,00:22:26,0.38,2.29,3.44,1.15,3.82,0.0,0.0,12.0,00:03:05,3.24,7.0,00:02:16,7.54
David Jiricek,MIN,D,9,00:12:45,0.0,0.0,3.14,0.52,2.09,2.09,0.0,7.0,00:12:28,0.0,0.0,2.75,0.69,2.75,1.37,0.0,,,,,,
Marco Kasper,DET,C,13,00:15:34,0.89,0.0,7.11,10.08,2.67,1.78,19.86,7.0,00:15:40,1.09,0.0,9.84,10.93,2.73,1.09,18.04,13.0,00:01:31,3.02,7.0,00:01:50,4.65
Joakim Kemell,NSH,R,2,00:11:04,0.0,0.0,2.71,10.84,2.71,0.0,0.0,,,,,,,,,,,,,,,
Jiri Kulich,BUF,C,12,00:16:21,0.92,0.61,6.11,2.75,3.67,1.22,20.78,7.0,00:16:27,1.04,1.04,4.69,3.12,2.6,1.04,22.39,12.0,00:01:39,0.0,7.0,00:01:33,0.0
Brad Lambert,WPG,C,3,00:09:42,2.06,0.0,6.18,4.12,2.06,0.0,0.0,3.0,00:09:42,2.06,0.0,6.18,4.12,2.06,0.0,0.0,,,,,,
Jonathan Lekkerimäki,VAN,R,4,00:09:54,1.52,0.0,4.55,7.58,3.03,0.0,0.0,,,,,,,,,,,,,,,
Denton Mateychuk,CBJ,D,12,00:18:16,0.82,0.55,4.38,2.74,5.75,0.55,0.0,7.0,00:19:50,1.3,0.43,4.32,3.46,6.05,0.86,0.0,,,,,,
Fraser Minten,BOS,C,14,00:13:09,0.65,0.65,6.19,7.49,5.21,1.95,24.42,7.0,00:13:02,0.66,1.31,6.57,7.89,3.94,0.0,23.67,,,,,,
Pavel Mintyukov,ANA,D,11,00:15:44,0.0,1.04,2.43,3.12,4.16,0.69,0.0,7.0,00:16:29,0.0,1.04,2.08,2.08,5.2,1.04,0.0,,,,,,
Frank Nazar,CHI,C,12,00:19:44,1.27,1.52,7.09,2.79,3.29,1.52,20.77,7.0,00:20:41,1.24,0.83,8.29,3.31,3.31,0.83,19.89,12.0,00:02:51,5.24,7.0,00:02:52,5.95
Simon Nemec,N.J,D,13,00:16:37,0.0,1.94,4.44,0.83,6.67,1.11,0.0,7.0,00:17:28,0.0,1.96,5.89,0.98,8.83,0.98,0.0,,,,,,
Jani Nyman,SEA,R,10,00:10:48,1.66,0.0,4.99,6.1,1.11,1.11,1.11,6.0,00:12:38,1.58,0.0,5.54,3.96,0.0,1.58,0.0,10.0,00:01:18,4.57,6.0,00:02:11,4.57
Liam Ohgren,MIN,L,5,00:09:10,0.0,0.0,5.23,7.85,2.62,0.0,0.0,,,,,,,,,,,,,,,
Noah Ostlund,BUF,C,4,00:10:50,0.0,0.0,8.3,1.38,4.15,0.0,13.84,4.0,00:10:50,0.0,0.0,8.3,1.38,4.15,0.0,13.84,,,,,,
Owen Pickering,PIT,D,3,00:12:25,0.0,0.0,1.61,1.61,3.22,0.0,0.0,3.0,00:12:25,0.0,0.0,1.61,1.61,3.22,0.0,0.0,,,,,,
Sam Rinzel,CHI,D,12,00:19:39,0.25,0.51,5.09,3.05,4.07,3.05,0.0,7.0,00:18:57,0.0,0.9,6.33,3.62,3.17,3.62,0.0,12.0,00:02:56,0.0,7.0,00:03:03,0.0
Matt Savoie,EDM,C,13,00:13:06,0.35,0.35,5.28,1.06,2.82,0.0,0.35,7.0,00:13:02,0.66,0.66,4.6,0.66,2.63,0.0,0.66,,,,,,
Juraj Slafkovský,MTL,L,12,00:18:17,1.64,0.27,7.38,6.56,3.55,2.73,0.27,7.0,00:18:01,2.38,0.48,7.14,5.71,4.28,3.81,0.0,12.0,00:03:04,8.12,7.0,00:02:10,15.74
Jimmy Snuggerud,STL,R,12,00:15:02,1.33,1.0,9.31,2.66,2.66,0.67,0.67,7.0,00:15:25,0.56,1.11,8.33,2.22,2.22,0.0,1.11,12.0,00:02:07,9.41,7.0,00:02:05,8.2
Shane Wright,SEA,C,11,00:14:59,1.09,1.09,6.18,2.91,2.18,0.73,14.91,7.0,00:15:04,1.14,1.14,6.25,0.57,2.84,1.14,11.94,11.0,00:01:31,7.16,7.0,00:01:27,5.89
Danila Yurov,MIN,R,10,00:09:42,0.62,0.0,4.33,4.95,3.09,0.0,12.36,6.0,00:09:46,1.02,0.0,5.12,2.05,4.1,0.0,9.22,,,,,,
Brian Halonen,N.J,L,9,00:07:30,0.89,0.0,3.55,16.0,1.78,4.44,0.0,5.0,00:07:14,1.66,0.0,4.97,4.97,3.32,0.0,0.0,,,,,,
Nick Blankenburg,NSH,D,3,00:17:25,0.0,1.15,4.59,4.59,3.44,0.0,0.0,2.0,00:20:07,0.0,1.49,4.47,2.98,4.47,0.0,0.0,,,,,,
Ben Meyers,SEA,C,5,00:08:09,0.0,2.94,1.47,11.77,1.47,0.0,17.65,5.0,00:08:09,0.0,2.94,1.47,11.77,1.47,0.0,17.65,,,,,,
Ethen Frank,WSH,C,3,00:11:18,0.0,1.77,5.31,3.54,3.54,7.08,0.0,3.0,00:11:18,0.0,1.77,5.31,3.54,3.54,7.08,0.0,,,,,,
Adam Klapka,CGY,R,13,00:09:55,0.46,0.93,6.04,19.98,3.72,12.55,0.46,6.0,00:08:49,1.13,0.0,9.07,19.26,7.93,12.46,1.13,,,,,,
Elias Pettersson,VAN,D,13,00:14:23,0.0,0.32,1.92,5.13,5.13,1.28,0.0,7.0,00:15:22,0.0,0.56,2.79,6.14,6.14,1.12,0.0,,,,,,
Noah Laba,NYR,C,13,00:11:35,0.8,0.8,4.78,3.98,3.98,0.8,18.7,7.0,00:11:36,1.48,0.0,5.17,2.95,5.17,1.48,18.45,,,,,,
Nikita Grebenkin,PHI,R,8,00:09:30,0.0,1.58,0.79,10.25,0.79,14.98,1.58,5.0,00:09:03,0.0,1.33,0.0,13.26,0.0,25.19,2.65,,,,,,
Dominic James,T.B,C,6,00:12:11,0.0,0.0,9.02,9.84,2.46,3.28,15.58,6.0,00:12:11,0.0,0.0,9.02,9.84,2.46,3.28,15.58,,,,,,
Victor Mancini,VAN,D,5,00:10:31,0.0,0.0,3.42,6.84,5.7,5.7,0.0,,,,,,,,,,,,,,,
