Player,Team,Position,szn_GP_all,szn_TOI/GP_all,szn_G,szn_A,szn_SOG,szn_HIT,szn_BLK,szn_PIM,szn_FOW,l7_GP_all,l7_TOI/GP_all,l7_G,l7_A,l7_SOG,l7_HIT,l7_BLK,l7_PIM,l7_FOW,szn_GP_pp,szn_TOI/GP_pp,szn_PPP,l7_GP_pp,l7_TOI/GP_pp,l7_PPP
Jeff Petry,FLA,D,12,00:14:51,0.0,0.67,3.03,2.69,3.7,1.35,0.0,7.0,00:14:17,0.0,0.0,3.6,3.0,2.4,1.2,0.0,12.0,00:01:43,5.8,7.0,00:01:29,0.0
Claude Giroux,OTT,R,13,00:16:16,0.57,1.7,6.24,3.12,0.57,1.13,18.71,7.0,00:16:55,0.51,1.52,6.58,3.54,0.51,0.0,18.74,13.0,00:02:36,5.3,7.0,00:02:48,6.12
Jordan Staal,CAR,C,11,00:15:24,1.06,0.35,3.89,6.73,2.12,1.42,44.6,7.0,00:15:28,1.11,0.55,3.88,6.09,3.32,1.11,45.98,,,,,,
Jonathan Toews,WPG,C,12,00:16:16,0.61,1.54,4.61,0.31,2.46,2.46,33.79,7.0,00:15:46,1.09,1.09,5.98,0.0,2.72,1.09,34.77,12.0,00:02:00,7.49,7.0,00:01:43,4.99
Alex Killorn,ANA,L,11,00:16:26,0.33,0.33,6.96,2.65,1.66,0.0,2.65,7.0,00:17:13,0.0,0.0,3.98,1.99,1.99,0.0,2.98,11.0,00:01:55,0.0,7.0,00:01:55,0.0
Ian Cole,UTA,D,12,00:18:24,0.27,1.36,1.9,4.34,7.6,2.17,0.0,7.0,00:18:56,0.45,1.81,2.72,4.07,8.6,1.81,0.0,,,,,,
James van Riemsdyk,DET,L,10,00:11:31,0.52,0.52,5.73,0.0,3.65,3.13,0.52,6.0,00:11:38,0.0,0.86,3.43,0.0,4.29,5.15,0.0,10.0,00:01:43,0.0,,,
David Perron,OTT,L,13,00:14:33,0.63,1.27,4.44,5.07,1.27,2.54,0.0,7.0,00:15:37,0.0,2.19,4.94,6.03,1.65,2.19,0.0,13.0,00:02:16,8.1,7.0,00:02:30,6.83
Patrick Kane,DET,R,5,00:17:14,1.39,2.09,6.27,1.39,0.7,0.0,0.0,,,,,,,,,,5.0,00:04:09,8.67,,,
Mikael Backlund,CGY,C,14,00:17:00,0.5,1.01,7.81,2.52,0.76,1.01,31.25,7.0,00:17:15,0.5,1.99,11.43,1.99,0.99,0.0,29.31,,,,,,
Ryan McDonagh,T.B,D,12,00:21:15,0.71,0.71,3.06,1.88,4.47,0.0,0.0,7.0,00:20:52,0.82,0.82,4.11,3.29,4.52,0.0,0.0,,,,,,
Lars Eller,OTT,C,13,00:14:05,0.66,1.31,4.91,3.93,2.62,0.0,27.85,7.0,00:14:18,0.6,1.8,3.6,1.8,3.0,0.0,26.37,13.0,00:01:45,0.0,7.0,00:02:29,0.0
Drew Doughty,L.A,D,13,00:23:43,0.19,0.58,3.7,1.75,3.89,0.78,0.0,7.0,00:23:43,0.36,0.0,3.25,1.08,3.97,0.72,0.0,13.0,00:01:25,0.0,7.0,00:01:33,0.0
Steven Stamkos,NSH,C,13,00:17:30,0.26,0.26,7.91,1.32,1.85,2.64,9.49,7.0,00:17:00,0.0,0.0,8.56,1.51,2.02,1.01,8.06,13.0,00:03:44,1.23,7.0,00:02:58,0.0
Zach Bogosian,MIN,D,5,00:13:52,0.0,0.0,4.32,5.19,7.78,0.0,0.0,,,,,,,,,,,,,,,
Luke Schenn,WPG,D,10,00:13:10,0.0,0.0,2.73,10.94,5.47,5.47,0.0,5.0,00:11:34,0.0,0.0,2.07,10.37,7.26,7.26,0.0,,,,,,
Tyler Myers,VAN,D,13,00:21:10,0.22,0.44,3.92,3.71,6.11,1.74,0.0,7.0,00:21:10,0.0,0.0,3.64,1.62,4.86,0.81,0.0,,,,,,
Erik Karlsson,PIT,D,13,00:22:48,0.0,2.02,4.65,0.0,3.04,0.81,0.0,7.0,00:25:18,0.0,2.37,5.08,0.0,3.05,0.0,0.0,13.0,00:02:32,3.63,7.0,00:02:45,3.1
Jordan Eberle,SEA,R,11,00:19:25,1.12,1.12,7.02,3.37,1.4,1.12,1.68,7.0,00:19:31,1.76,0.44,6.14,2.63,0.88,0.88,2.19,11.0,00:02:49,3.87,7.0,00:02:40,0.0
John Carlson,WSH,D,12,00:23:57,0.42,1.04,5.63,1.25,3.96,0.42,0.0,7.0,00:24:05,0.71,0.71,4.98,1.42,3.2,0.0,0.0,12.0,00:04:00,3.74,7.0,00:04:17,1.99
Roman Josi,NSH,D,8,00:24:05,0.31,1.25,5.92,1.25,4.67,1.87,0.0,2.0,00:20:43,0.0,1.45,5.79,0.0,4.34,2.89,0.0,8.0,00:04:03,3.69,,,
Travis Hamonic,DET,D,6,00:14:39,0.0,0.68,4.78,2.73,5.46,4.78,0.0,5.0,00:14:52,0.0,0.81,4.03,3.23,6.45,5.65,0.0,,,,,,
Adam Henrique,EDM,C,13,00:13:27,0.69,1.37,7.89,2.06,5.49,0.69,23.33,7.0,00:14:07,0.61,1.82,10.32,0.0,4.25,1.21,18.21,,,,,,
Gustav Nyquist,WPG,R,11,00:12:19,0.0,2.21,6.2,2.66,2.21,0.0,2.21,6.0,00:11:43,0.0,1.71,6.83,1.71,0.85,0.0,0.85,11.0,00:01:44,6.27,,,
Jared Spurgeon,MIN,D,13,00:21:16,0.22,0.22,3.47,4.56,4.56,0.0,0.0,7.0,00:22:25,0.0,0.38,3.44,4.21,3.44,0.0,0.0,13.0,00:02:49,1.63,7.0,00:03:54,0.0
Marcus Johansson,MIN,L,13,00:16:04,1.44,1.44,6.89,2.01,1.44,0.57,1.15,7.0,00:17:11,1.99,1.5,9.47,1.5,1.0,0.0,1.0,13.0,00:01:24,13.11,,,
Kyle Palmieri,NYI,C,12,00:19:34,1.02,1.28,8.94,3.06,1.53,1.53,0.51,7.0,00:19:01,0.9,1.35,8.11,2.7,1.35,0.9,0.45,12.0,00:03:59,5.0,7.0,00:03:33,4.82
Ryan O'Reilly,NSH,C,13,00:19:21,1.19,0.95,4.53,1.43,3.34,0.0,31.46,7.0,00:19:01,1.35,1.35,5.41,1.35,4.51,0.0,35.6,13.0,00:03:20,2.76,7.0,00:02:45,3.11
John Tavares,TOR,C,12,00:17:23,1.73,2.88,10.07,3.74,0.58,0.0,32.21,7.0,00:17:17,2.48,2.97,13.87,3.47,0.99,0.0,30.72,12.0,00:03:05,3.24,7.0,00:03:29,4.92
Victor Hedman,T.B,D,12,00:23:27,0.0,1.92,4.48,1.28,5.54,0.0,0.0,7.0,00:22:16,0.0,1.92,6.16,0.77,5.39,0.0,0.0,12.0,00:04:06,4.87,7.0,00:04:38,3.69
Matt Duchene,DAL,C,4,00:14:26,1.04,1.04,3.12,2.08,4.15,0.0,12.46,,,,,,,,,,,,,,,
Evander Kane,VAN,L,13,00:17:13,0.0,1.34,8.31,7.77,2.14,6.97,0.8,7.0,00:17:53,0.0,0.96,8.63,5.27,1.92,8.63,0.0,13.0,00:01:55,2.39,7.0,00:01:46,4.85
Brayden Schenn,STL,C,12,00:17:05,0.59,0.88,4.1,8.49,1.17,3.22,27.51,7.0,00:17:16,0.5,0.5,4.96,4.96,0.99,4.47,27.29,12.0,00:02:12,2.27,7.0,00:02:19,0.0
Oliver Ekman-Larsson,TOR,D,12,00:19:43,0.25,1.52,3.8,4.06,3.55,3.55,0.0,7.0,00:20:18,0.0,1.27,4.22,3.8,2.95,4.22,0.0,12.0,00:01:37,6.14,7.0,00:02:06,4.07
Nazem Kadri,CGY,C,14,00:20:18,0.63,1.48,8.65,2.32,0.84,1.69,14.98,7.0,00:20:22,1.26,1.26,10.09,3.36,0.42,0.0,12.62,14.0,00:04:23,3.9,7.0,00:03:58,2.15
Dmitry Kulikov,FLA,D,2,00:10:46,0.0,0.0,2.78,2.78,0.0,0.0,0.0,,,,,,,,,,,,,,,
Nick Leddy,S.J,D,7,00:17:11,0.0,1.0,0.5,1.0,4.98,1.99,0.0,,,,,,,,,,,,,,,
Chris Kreider,ANA,L,7,00:16:28,3.12,0.52,10.92,2.6,1.56,3.12,0.0,3.0,00:16:16,2.46,0.0,11.06,0.0,2.46,7.37,0.0,7.0,00:03:51,8.88,3.0,00:03:39,5.46
Brayden McNabb,VGK,D,11,00:21:30,0.0,0.0,1.27,4.06,9.13,1.01,0.0,7.0,00:21:54,0.0,0.0,1.96,4.69,8.22,0.78,0.0,,,,,,
Reilly Smith,VGK,R,11,00:13:20,0.41,0.41,4.9,3.68,0.41,0.0,0.0,7.0,00:13:16,0.0,0.65,4.52,3.88,0.0,0.0,0.0,,,,,,
Dmitry Orlov,S.J,D,13,00:22:57,0.0,2.01,3.82,4.62,3.42,2.81,0.0,7.0,00:22:58,0.0,1.86,3.36,3.73,5.97,2.98,0.0,13.0,00:02:38,6.99,7.0,00:02:13,7.72
Brian Dumoulin,L.A,D,13,00:19:42,0.0,0.23,3.28,2.58,4.45,0.47,0.0,7.0,00:19:16,0.0,0.44,4.45,0.89,4.89,0.0,0.0,,,,,,
Mattias Ekholm,EDM,D,13,00:19:51,0.23,1.16,4.88,2.32,6.97,0.93,0.0,7.0,00:18:59,0.45,1.8,3.16,2.71,7.22,0.0,0.0,,,,,,
Marcus Foligno,MIN,L,12,00:12:53,0.0,0.0,3.49,13.96,3.49,9.69,0.0,6.0,00:12:27,0.0,0.0,4.01,20.07,2.41,12.84,0.0,,,,,,
Casey Cizikas,NYI,C,12,00:10:28,0.48,0.48,3.82,14.79,4.29,2.86,17.65,7.0,00:10:07,0.85,0.85,5.93,11.01,4.23,3.39,13.55,,,,,,
Nicolas Deslauriers,PHI,L,4,00:07:22,0.0,0.0,4.06,22.35,0.0,10.16,0.0,2.0,00:08:33,0.0,0.0,3.51,21.03,0.0,0.0,0.0,,,,,,
Ben Chiarot,DET,D,13,00:20:49,0.22,0.44,2.88,6.2,4.65,0.89,0.0,7.0,00:19:49,0.43,0.0,3.03,7.78,4.32,1.73,0.0,,,,,,
Erik Haula,NSH,L,13,00:15:36,0.59,1.48,4.43,6.21,1.48,5.32,24.54,7.0,00:15:40,0.0,1.64,4.37,5.47,1.64,6.56,25.15,13.0,00:01:07,4.1,,,
Anders Lee,NYI,L,12,00:15:11,0.66,2.3,12.18,3.62,2.96,2.63,3.62,7.0,00:15:22,0.0,3.35,13.94,2.23,2.23,3.35,5.02,12.0,00:01:50,2.73,7.0,00:02:03,4.17
Nick Jensen,OTT,D,13,00:18:38,0.0,0.74,2.97,3.47,3.96,1.49,0.0,7.0,00:19:50,0.0,0.86,3.45,2.59,4.75,1.73,0.0,,,,,,
Nic Dowd,WSH,C,12,00:15:05,0.33,0.66,4.31,7.95,2.65,1.99,25.18,7.0,00:14:57,0.57,1.15,4.01,6.87,3.44,3.44,25.21,,,,,,
Brenden Dillon,N.J,D,13,00:18:51,0.49,0.98,2.94,8.08,6.12,0.98,0.0,7.0,00:19:14,0.45,0.89,3.12,7.57,6.24,0.89,0.0,,,,,,
Andrew Agozzino,UTA,L,2,00:06:07,0.0,0.0,0.0,19.57,4.89,0.0,14.67,,,,,,,,,,,,,,,
Radko Gudas,ANA,D,7,00:15:34,0.0,1.1,4.4,12.65,6.6,1.1,0.0,3.0,00:11:03,0.0,1.81,3.62,10.85,3.62,0.0,0.0,,,,,,
Chris Tanev,TOR,D,8,00:17:20,0.0,0.87,2.6,0.87,3.46,0.0,0.0,3.0,00:13:46,0.0,1.45,4.36,0.0,2.9,0.0,0.0,,,,,,
Calle Jarnkrok,TOR,C,9,00:11:14,2.37,0.0,6.52,3.56,1.19,2.37,2.37,4.0,00:11:22,1.32,0.0,3.95,6.59,1.32,5.27,2.64,,,,,,
Jason Zucker,BUF,L,12,00:14:43,1.36,1.02,9.16,5.09,0.34,1.36,3.73,7.0,00:13:39,0.63,1.25,8.78,3.76,0.0,0.0,4.39,12.0,00:03:23,5.89,7.0,00:03:19,2.57
Tyler Toffoli,S.J,C,13,00:17:29,1.06,0.79,7.91,2.9,2.37,0.0,0.26,7.0,00:18:00,0.95,0.95,8.09,2.86,2.86,0.0,0.0,13.0,00:03:22,2.73,7.0,00:03:29,2.45
Charlie Coyle,CBJ,C,12,00:16:48,0.59,2.08,5.06,4.76,2.38,0.0,27.07,7.0,00:16:30,1.04,2.6,5.71,3.63,3.11,0.0,25.95,12.0,00:01:23,3.58,,,
Tyler Pitlick,MIN,C,7,00:08:27,0.0,0.0,6.08,22.3,5.07,2.03,0.0,6.0,00:08:37,0.0,0.0,6.96,20.88,5.8,2.32,0.0,,,,,,
Justin Faulk,STL,D,12,00:23:23,0.43,0.64,4.7,2.57,5.13,0.86,0.0,7.0,00:23:22,0.73,0.73,5.13,1.1,4.77,0.73,0.0,12.0,00:02:22,6.29,7.0,00:02:37,6.52
Brock Nelson,COL,C,13,00:19:14,0.72,0.24,4.56,2.16,2.4,1.92,28.07,7.0,00:18:49,0.91,0.0,4.55,1.37,0.91,3.64,30.96,13.0,00:03:39,1.26,7.0,00:02:12,0.0
Alex Petrovic,DAL,D,10,00:13:23,0.0,0.45,4.48,7.61,5.82,8.51,0.0,7.0,00:13:15,0.0,0.65,6.46,7.11,4.53,1.29,0.0,,,,,,
Nick Bjugstad,STL,C,12,00:10:36,1.41,0.47,9.43,12.26,4.72,3.77,17.92,7.0,00:11:15,1.52,0.76,11.42,12.18,3.05,4.57,16.75,,,,,,
Derek Forbort,VAN,D,2,00:13:55,0.0,0.0,2.15,4.31,8.61,4.31,0.0,,,,,,,,,,,,,,,
Cam Fowler,STL,D,12,00:23:02,0.0,0.87,4.77,0.43,1.95,0.43,0.0,7.0,00:23:23,0.0,1.1,4.76,0.37,2.56,0.73,0.0,12.0,00:02:42,5.55,7.0,00:02:55,8.79
Vladimir Tarasenko,MIN,R,13,00:15:36,0.59,1.77,6.51,2.96,1.48,0.0,0.0,7.0,00:15:12,0.56,1.13,6.76,4.51,1.69,0.0,0.0,13.0,00:04:43,4.88,7.0,00:04:42,1.82
Jaden Schwartz,SEA,L,11,00:17:08,1.27,1.91,6.68,5.73,3.18,1.91,1.59,7.0,00:16:47,1.53,2.04,8.68,4.08,3.57,3.06,1.53,11.0,00:01:36,6.78,7.0,00:01:28,5.84
Jeff Skinner,S.J,L,12,00:13:22,1.5,0.75,8.98,1.5,1.12,0.75,0.75,6.0,00:13:18,0.75,0.75,3.76,0.0,1.5,1.5,0.75,12.0,00:02:05,2.4,6.0,00:01:57,0.0
Erik Gudbranson,CBJ,D,4,00:14:50,0.0,0.0,3.03,5.05,1.01,6.06,0.0,2.0,00:15:51,0.0,0.0,1.89,1.89,0.0,3.79,0.0,,,,,,
Taylor Hall,CAR,L,11,00:14:12,0.77,1.54,4.99,3.07,1.54,3.84,0.38,7.0,00:14:37,0.0,1.17,4.1,3.52,1.17,5.86,0.0,11.0,00:01:38,0.0,,,
Tyler Seguin,DAL,C,12,00:17:33,0.85,0.57,4.27,2.28,1.42,0.57,19.36,7.0,00:18:36,0.92,0.0,3.22,1.84,1.38,0.92,23.95,12.0,00:02:30,3.98,7.0,00:03:06,2.75
Dylan McIlrath,WSH,D,1,00:14:04,0.0,0.0,0.0,12.78,0.0,0.0,0.0,1.0,00:14:04,0.0,0.0,0.0,12.78,0.0,0.0,0.0,,,,,,
Mikael Granlund,ANA,C,8,00:17:17,0.87,2.6,8.24,1.3,1.3,1.73,29.06,4.0,00:15:48,1.9,2.85,16.13,2.85,0.95,3.8,29.42,8.0,00:03:53,3.86,4.0,00:03:49,3.92
Nino Niederreiter,WPG,R,12,00:14:29,1.04,1.73,7.25,8.28,1.38,2.07,0.35,7.0,00:14:39,0.58,1.17,5.26,8.18,1.17,3.51,0.0,12.0,00:01:54,10.51,7.0,00:01:41,10.11
Bryan Rust,PIT,R,11,00:20:14,1.08,1.62,6.74,0.54,4.04,1.62,0.0,7.0,00:20:22,1.68,1.68,6.31,0.84,3.36,1.68,0.0,11.0,00:02:26,6.71,7.0,00:02:36,6.56
Sam Carrick,NYR,C,13,00:12:38,0.37,1.46,7.31,6.94,3.65,3.65,17.9,7.0,00:12:06,0.71,0.71,5.66,9.21,2.83,7.08,18.41,,,,,,
Brendan Gallagher,MTL,R,12,00:13:18,0.0,2.25,6.76,4.13,0.38,2.25,0.75,7.0,00:12:57,0.0,1.32,7.27,5.29,0.0,1.32,0.0,12.0,00:01:37,3.08,,,
John Klingberg,S.J,D,7,00:21:26,0.4,0.8,4.4,3.6,3.6,1.6,0.0,4.0,00:22:51,0.0,0.66,4.59,3.94,3.28,1.31,0.0,7.0,00:04:00,4.28,4.0,00:03:53,0.0
Mark Stone,VGK,R,6,00:18:24,1.09,5.98,10.32,1.63,2.72,0.0,0.0,2.0,00:17:51,3.36,8.4,16.81,0.0,1.68,0.0,0.0,6.0,00:04:07,19.43,,,
Colin Blackwell,DAL,C,12,00:11:58,0.0,0.42,3.34,10.44,2.5,2.5,7.1,7.0,00:12:29,0.0,0.69,4.8,12.35,2.74,1.37,6.86,,,,,,
Ondrej Palat,N.J,L,13,00:12:38,0.0,0.36,5.47,7.66,4.01,0.0,0.36,7.0,00:12:35,0.0,0.0,6.81,5.45,2.72,0.0,0.68,,,,,,
Josh Manson,COL,D,13,00:18:17,0.25,0.25,4.54,6.81,5.3,3.78,0.0,7.0,00:19:26,0.0,0.0,4.85,7.06,4.85,0.88,0.0,,,,,,
Dylan DeMelo,WPG,D,12,00:21:58,0.23,1.37,2.05,2.5,5.69,2.28,0.0,7.0,00:21:47,0.39,1.18,1.97,2.36,4.72,1.57,0.0,,,,,,
Nick Seeler,PHI,D,12,00:20:07,0.0,0.5,3.48,5.96,5.46,0.99,0.0,7.0,00:19:29,0.0,0.44,3.96,4.84,4.4,1.76,0.0,,,,,,
Sean Kuraly,BOS,C,14,00:13:59,0.31,0.92,6.12,3.98,3.06,1.84,20.52,7.0,00:14:15,0.0,0.6,7.21,3.01,1.8,1.2,18.03,,,,,,
Vincent Trocheck,NYR,C,2,00:14:10,0.0,2.12,2.12,2.12,6.35,0.0,27.53,,,,,,,,,,,,,,,
Nick Cousins,OTT,C,13,00:11:12,0.82,0.41,4.12,10.3,3.71,10.3,1.24,7.0,00:11:43,1.46,0.0,5.84,10.23,4.38,16.8,0.73,,,,,,
Blake Coleman,CGY,L,14,00:17:33,1.22,0.24,9.03,6.84,2.2,1.46,1.46,7.0,00:17:49,1.44,0.48,9.13,4.81,0.96,0.96,1.44,14.0,00:01:08,0.0,7.0,00:01:44,0.0
Jean-Gabriel Pageau,NYI,C,12,00:14:48,1.01,1.35,4.39,7.09,3.37,0.0,37.8,7.0,00:15:22,1.12,1.12,3.9,6.69,3.9,0.0,41.26,,,,,,
Mike Reilly,CAR,D,8,00:18:18,0.41,1.23,6.97,1.23,4.92,0.0,0.0,6.0,00:18:15,0.55,1.1,4.93,1.64,6.03,0.0,0.0,,,,,,
Scott Mayfield,NYI,D,12,00:18:11,0.0,0.82,3.3,1.65,4.67,7.97,0.0,7.0,00:18:50,0.0,0.45,1.82,1.36,3.64,11.37,0.0,,,,,,
Boone Jenner,CBJ,C,12,00:16:36,0.6,1.51,6.92,7.23,3.01,3.91,11.14,7.0,00:15:40,0.55,1.09,8.2,7.65,3.28,3.83,7.65,12.0,00:01:42,5.85,,,
Brandon Saad,VGK,L,11,00:13:11,0.0,0.41,5.37,0.83,3.31,0.83,0.41,7.0,00:13:17,0.0,0.64,5.8,1.29,3.87,1.29,0.64,,,,,,
Joel Edmundson,L.A,D,13,00:17:05,0.0,1.35,4.86,4.05,2.7,2.7,0.0,7.0,00:16:52,0.0,2.03,6.6,2.54,2.54,2.03,0.0,,,,,,
William Karlsson,VGK,C,11,00:15:39,1.39,0.7,7.67,0.35,4.18,1.39,23.35,7.0,00:15:20,2.24,0.56,6.71,0.0,4.47,0.0,22.92,11.0,00:01:07,4.82,,,
Nikita Kucherov,T.B,R,10,00:20:57,1.14,1.72,8.3,0.57,0.86,0.57,0.0,6.0,00:21:17,0.94,2.35,9.87,0.47,0.94,0.0,0.0,10.0,00:04:43,3.82,6.0,00:05:25,1.84
Ryan Nugent-Hopkins,EDM,C,13,00:18:57,1.22,1.95,5.6,1.7,0.73,0.97,7.79,7.0,00:19:17,0.44,2.67,4.0,2.22,0.89,0.0,6.67,13.0,00:03:27,10.67,7.0,00:03:23,15.18
Gabriel Landeskog,COL,L,13,00:14:04,0.0,0.98,5.9,6.23,0.98,2.62,4.26,7.0,00:13:50,0.0,0.62,6.19,5.57,1.24,3.71,1.86,13.0,00:01:41,0.0,,,
Jonathan Huberdeau,CGY,L,9,00:19:33,1.36,1.02,5.11,1.02,1.36,1.36,0.34,7.0,00:19:33,1.31,1.31,4.38,0.88,0.88,1.75,0.44,9.0,00:03:48,1.75,7.0,00:03:35,0.0
Adam Larsson,SEA,D,11,00:22:27,0.0,0.49,2.67,4.13,6.31,1.46,0.0,7.0,00:22:47,0.0,0.38,3.01,4.14,5.64,1.5,0.0,,,,,,
Mika Zibanejad,NYR,C,13,00:21:17,0.87,0.43,8.89,4.55,1.73,0.87,21.89,7.0,00:22:01,1.17,0.78,6.61,6.23,1.95,1.56,22.96,13.0,00:03:39,2.53,7.0,00:03:19,5.16
Mark Scheifele,WPG,C,12,00:19:47,2.27,2.78,7.58,0.76,0.51,1.01,24.25,7.0,00:20:08,1.28,3.41,6.81,0.0,0.43,0.0,23.41,12.0,00:03:28,7.19,7.0,00:03:45,6.84
Sean Couturier,PHI,C,11,00:18:16,0.6,2.09,5.07,2.98,2.69,1.79,30.44,6.0,00:17:12,0.0,2.32,5.81,2.32,2.32,2.32,27.31,11.0,00:01:47,0.0,,,
Dougie Hamilton,N.J,D,13,00:21:48,0.85,0.63,7.19,3.17,3.6,1.69,0.0,7.0,00:22:19,1.15,1.15,7.29,1.92,3.84,1.54,0.0,13.0,00:02:11,8.44,7.0,00:02:01,16.92
Jonas Brodin,MIN,D,12,00:21:16,0.47,0.47,1.88,0.24,5.64,0.47,0.0,7.0,00:21:33,0.8,0.4,1.99,0.0,6.76,0.0,0.0,,,,,,
Jamie Oleksiak,SEA,D,11,00:17:19,0.31,0.0,3.78,5.67,6.61,1.26,0.0,7.0,00:17:52,0.0,0.0,2.88,5.75,4.79,0.0,0.0,,,,,,
J.T. Miller,NYR,C,13,00:21:03,0.66,1.1,7.67,6.14,0.88,0.88,29.81,7.0,00:21:47,0.79,1.18,9.84,5.51,0.79,0.79,31.48,13.0,00:03:30,2.64,7.0,00:03:07,2.74
Joel Armia,L.A,R,13,00:14:18,0.65,1.29,5.49,4.52,2.58,2.58,0.97,7.0,00:14:28,1.18,0.59,4.14,4.14,2.96,3.55,1.18,,,,,,
Connor Murphy,CHI,D,12,00:15:23,0.0,0.65,4.22,2.92,4.55,2.6,0.0,7.0,00:14:08,0.0,1.21,3.64,4.85,4.24,2.42,0.0,,,,,,
Stefan Noesen,N.J,R,7,00:10:42,0.8,0.0,6.4,7.2,4.0,1.6,2.4,7.0,00:10:42,0.8,0.0,6.4,7.2,4.0,1.6,2.4,,,,,,
Phillip Danault,L.A,C,13,00:17:03,0.0,0.81,4.6,3.25,0.54,1.08,30.3,7.0,00:15:58,0.0,0.54,4.83,1.07,0.54,2.15,34.34,13.0,00:01:20,0.0,,,
Vladislav Namestnikov,WPG,C,12,00:15:29,1.94,0.32,5.81,3.55,1.61,0.0,9.68,7.0,00:15:38,2.19,0.0,7.67,2.19,1.64,0.0,9.86,12.0,00:01:51,5.38,7.0,00:01:33,5.5
Rickard Rakell,PIT,R,9,00:17:44,1.13,1.88,6.39,3.38,3.76,0.75,0.38,3.0,00:17:19,1.15,2.31,5.77,2.31,1.15,0.0,1.15,9.0,00:02:15,8.87,,,
Colin Miller,WPG,D,3,00:11:15,0.0,0.0,1.78,14.21,3.55,3.55,0.0,2.0,00:11:25,0.0,0.0,0.0,21.02,2.63,0.0,0.0,,,,,,
Jonathan Marchessault,NSH,R,10,00:17:47,1.35,0.67,9.44,7.42,0.34,1.35,1.01,5.0,00:17:41,1.36,0.0,8.82,7.46,0.0,1.36,0.0,10.0,00:03:34,3.35,5.0,00:02:58,8.06
Barclay Goodrow,S.J,C,13,00:11:22,0.0,0.41,4.46,7.71,4.06,0.0,1.22,7.0,00:10:47,0.0,0.79,3.97,6.35,2.38,0.0,2.38,,,,,,
Luke Glendening,N.J,C,13,00:10:41,0.0,1.3,3.46,8.64,6.05,0.86,40.17,7.0,00:10:21,0.0,0.83,4.14,6.62,6.62,1.65,40.53,,,,,,
Yanni Gourde,T.B,C,12,00:15:54,0.94,0.31,6.28,5.66,1.57,2.51,14.14,7.0,00:15:45,0.54,0.54,5.99,5.99,2.72,3.27,10.88,,,,,,
Morgan Rielly,TOR,D,11,00:21:31,0.51,1.27,5.83,1.77,2.53,0.51,0.0,6.0,00:21:41,0.46,0.46,4.15,1.84,2.77,0.0,0.0,11.0,00:03:03,0.0,6.0,00:03:24,0.0
Hampus Lindholm,BOS,D,6,00:17:49,0.0,0.56,3.93,0.56,4.49,4.49,0.0,3.0,00:20:34,0.0,0.97,4.86,0.97,1.94,5.83,0.0,,,,,,
Mathew Dumba,PIT,D,5,00:15:01,0.0,0.8,2.4,7.19,3.19,8.78,0.0,4.0,00:14:59,0.0,1.0,3.0,8.0,4.0,9.0,0.0,,,,,,
Brady Skjei,NSH,D,13,00:23:12,0.0,0.6,3.38,2.39,2.19,0.8,0.0,7.0,00:23:49,0.0,0.36,2.88,3.24,1.8,0.72,0.0,13.0,00:02:10,2.12,7.0,00:01:45,4.86
Tanner Pearson,WPG,L,12,00:11:26,0.87,0.44,4.37,5.25,3.93,4.37,0.87,7.0,00:11:13,0.0,0.0,3.05,7.64,4.58,4.58,0.76,,,,,,
Mark Jankowski,CAR,L,6,00:10:06,0.0,0.99,3.96,1.98,3.96,1.98,25.74,4.0,00:10:22,0.0,1.45,4.34,2.89,2.89,0.0,21.68,,,,,,
Olli Määttä,UTA,D,12,00:11:31,0.0,0.43,1.73,0.0,4.77,0.0,0.0,7.0,00:12:01,0.0,0.71,2.14,0.0,5.7,0.0,0.0,,,,,,
Mike Matheson,MTL,D,12,00:24:53,0.6,0.8,3.42,2.61,5.83,1.61,0.0,7.0,00:25:51,0.66,0.33,3.32,1.99,6.3,1.99,0.0,,,,,,
Zemgus Girgensons,T.B,C,5,00:14:25,1.66,0.83,4.99,10.82,1.66,1.66,5.83,5.0,00:14:25,1.66,0.83,4.99,10.82,1.66,1.66,5.83,,,,,,
Cody Ceci,L.A,D,13,00:17:37,0.26,0.52,4.45,1.83,4.19,0.0,0.0,7.0,00:17:49,0.48,0.48,4.81,0.96,3.85,0.0,0.0,,,,,,
Tom Wilson,WSH,R,12,00:19:34,1.53,1.79,6.13,9.19,1.28,6.89,0.26,7.0,00:19:33,1.32,1.32,5.7,9.64,1.32,10.96,0.44,12.0,00:03:41,5.41,7.0,00:03:52,4.43
Tomas Hertl,VGK,C,11,00:17:50,1.53,1.83,7.64,3.97,0.92,2.45,34.86,7.0,00:17:27,1.96,1.96,9.33,2.95,0.98,1.96,33.87,11.0,00:04:20,5.03,7.0,00:04:23,7.81
Teuvo Teravainen,CHI,C,12,00:18:43,0.53,1.87,4.01,2.14,1.6,0.0,1.07,7.0,00:19:22,0.44,0.88,5.31,2.65,0.88,0.0,1.77,12.0,00:02:31,5.92,7.0,00:02:22,3.6
Jacob Trouba,ANA,D,11,00:21:39,0.5,1.26,3.78,8.31,6.05,0.0,0.0,7.0,00:23:34,0.73,1.82,4.73,7.27,5.45,0.0,0.0,,,,,,
Filip Forsberg,NSH,L,13,00:18:55,1.22,0.98,9.03,7.56,1.46,0.98,0.24,7.0,00:18:11,1.88,0.94,8.48,6.6,1.41,1.88,0.47,13.0,00:03:32,2.6,7.0,00:02:44,3.12
