Player,Team,Position,szn_GP_all,szn_TOI/GP_all,szn_G,szn_A,szn_SOG,szn_HIT,szn_BLK,szn_PIM,szn_FOW,l7_GP_all,l7_TOI/GP_all,l7_G,l7_A,l7_SOG,l7_HIT,l7_BLK,l7_PIM,l7_FOW,szn_GP_pp,szn_TOI/GP_pp,szn_PPP,l7_GP_pp,l7_TOI/GP_pp,l7_PPP,pos_group,T_szn_G,T_szn_A,T_szn_PPP,T_szn_SOG,T_szn_FOW,T_szn_HIT,T_szn_BLK,T_szn_PIM,T_l7_G,T_l7_A,T_l7_PPP,T_l7_SOG,T_l7_FOW,T_l7_HIT,T_l7_BLK,T_l7_PIM,Offensive_Index_szn,Banger_Index_szn,Composite_Index_szn,Offensive_Index_l7,Banger_Index_l7,Composite_Index_l7
Claude Giroux,OTT,R,19,0 days 00:16:29.789473686,0.77,1.91,7.27,3.45,0.77,0.77,18.19,7.0,0 days 00:16:51.857142858,1.02,2.03,8.64,4.07,1.02,0.0,17.28,19.0,0 days 00:02:23.894736840,5.27,7.0,0 days 00:01:51.571428570,4.61,F,58,88,69,68,86,41,12,31,72,88,67,79,86,54,32,17,73.8,28.0,60.059999999999995,78.4,34.333333333333336,65.18
Jordan Staal,CAR,C,19,0 days 00:15:21.842105262,1.03,0.41,4.73,7.4,2.26,4.73,44.6,7.0,0 days 00:15:01.428571428,1.14,0.57,6.85,8.56,2.28,10.84,43.36,,,,,,,F,72,24,50,33,96,72,59,89,76,40,50,66,96,80,66,98,55.0,73.33333333333333,60.5,65.6,81.33333333333333,70.32
Jonathan Toews,WPG,C,19,0 days 00:16:12.684210528,0.58,0.97,5.06,0.58,2.53,1.95,35.26,7.0,0 days 00:16:05.714285712,0.53,0.0,5.86,1.07,2.66,1.07,37.81,19.0,0 days 00:01:52.052631576,5.07,7.0,0 days 00:01:38.142857142,0.0,F,44,56,67,38,94,6,66,60,47,11,8,56,95,17,73,48,59.8,44.0,55.05999999999999,43.4,46.0,44.17999999999999
Alex Killorn,ANA,L,19,0 days 00:16:33.894736842,0.19,1.14,6.29,3.43,1.53,0.76,2.86,7.0,0 days 00:16:50.714285712,0.0,2.04,4.58,4.07,1.53,1.02,3.05,19.0,0 days 00:01:45.473684208,1.8,7.0,0 days 00:01:25.999999998,5.98,F,17,64,25,57,45,41,36,31,15,88,75,40,48,54,48,47,41.6,36.0,39.919999999999995,53.2,49.666666666666664,52.14
Ian Cole,UTA,D,20,0 days 00:18:46.300000002,0.16,0.96,2.88,3.84,6.87,1.92,0.0,7.0,0 days 00:19:21,0.0,0.44,4.43,3.54,6.2,1.77,0.0,,,,,,,D,49,69,50,37,50,66,87,64,28,38,50,69,50,66,81,64,51.0,72.33333333333333,57.39999999999999,47.0,70.33333333333333,54.0
James van Riemsdyk,DET,L,15,0 days 00:11:55.466666664,0.34,0.34,6.04,0.0,3.69,2.01,0.34,5.0,0 days 00:12:44.400000,0.0,0.0,5.65,0.0,3.77,0.0,0.0,15.0,0 days 00:01:42.933333336,0.0,,,,F,27,20,2,53,18,2,86,62,15,11,50,53,14,4,86,17,24.0,50.0,31.799999999999997,28.6,35.666666666666664,30.72
David Perron,OTT,L,19,0 days 00:14:26.263157892,0.44,1.53,4.59,4.59,1.75,1.75,0.0,7.0,0 days 00:14:18,0.0,1.8,4.2,3.6,3.0,0.0,0.0,19.0,0 days 00:02:01.315789476,6.25,7.0,0 days 00:01:33.142857143,0.0,F,34,79,76,31,13,53,44,56,15,85,8,35,14,49,78,17,46.6,51.0,47.919999999999995,31.4,48.0,36.379999999999995
Patrick Kane,DET,R,11,0 days 00:17:06,0.96,1.91,10.53,1.28,0.32,0.64,0.0,6.0,0 days 00:16:59.166666666,0.59,1.77,14.13,1.18,0.0,1.18,0.0,11.0,0 days 00:04:20.272727274,7.54,6.0,0 days 00:04:29.500000002,6.68,F,69,88,83,90,13,14,4,28,51,84,78,95,14,19,4,50,68.6,15.333333333333334,52.62,64.4,24.333333333333332,52.379999999999995
Evgenii Dadonov,N.J,L,2,0 days 00:11:11.500000002,0.0,0.0,8.04,2.68,8.04,0.0,0.0,1.0,0 days 00:12:51,0.0,0.0,4.67,4.67,4.67,0.0,0.0,,,,,,,F,7,6,50,76,13,32,99,10,15,11,50,41,14,59,92,17,30.4,47.0,35.379999999999995,26.2,56.0,35.14
Mikael Backlund,CGY,C,21,0 days 00:16:34.000000002,0.52,1.21,8.45,2.59,0.86,0.69,34.15,7.0,0 days 00:15:41.285714286,0.55,1.64,9.83,2.73,1.09,0.0,40.43,,,,,,,F,40,67,50,79,94,31,15,29,48,81,50,85,95,40,34,17,66.0,25.0,53.699999999999996,71.8,30.333333333333332,59.36
