Team,Score,TIER
CHI,20,Weak
FLA,81,Excellent
PIT,42,Meh
NYR,84,Excellent
COL,94,Excellent
L.A,67,Good
MTL,68,Good
TOR,19,Weak
BOS,14,Weak
WSH,75,Good
CGY,80,Excellent
EDM,44,Meh
VGK,83,Excellent
BUF,36,Meh
DET,41,Meh
OTT,87,Excellent
T.B,84,Excellent
PHI,72,Good
NYI,7,Weak
N.J,46,Meh
CAR,73,Good
MIN,33,Meh
STL,55,Good
CBJ,33,Meh
NSH,57,Good
DAL,73,Good
WPG,24,Weak
UTA,75,Good
VAN,10,Weak
S.J,30,Meh
ANA,17,Weak
SEA,74,Good
