Player,Team,Position,team_name,ROW_G,ROW_A,ROW_PPP,ROW_SOG,ROW_FOW,ROW_HIT,ROW_BLK,ROW_PIM,NW_G,NW_A,NW_PPP,NW_SOG,NW_FOW,NW_HIT,NW_BLK,NW_PIM,ROS_G,ROS_A,ROS_PPP,ROS_SOG,ROS_FOW,ROS_HIT,ROS_BLK,ROS_PIM,Proj_ROW_G,Proj_ROW_A,Proj_ROW_PPP,Proj_ROW_SOG,Proj_ROW_HIT,Proj_ROW_BLK,Proj_ROW_PIM,Proj_NW_G,Proj_NW_A,Proj_NW_PPP,Proj_NW_SOG,Proj_NW_HIT,Proj_NW_BLK,Proj_NW_PIM,Proj_ROS_G,Proj_ROS_A,Proj_ROS_PPP,Proj_ROS_SOG,Proj_ROS_HIT,Proj_ROS_BLK,Proj_ROS_PIM,Δ_Fcst_vs_Proj_ROW_G,Δ_Fcst_vs_Proj_NW_G,Δ_Fcst_vs_Proj_ROS_G,Δ_Fcst_vs_Proj_ROW_A,Δ_Fcst_vs_Proj_NW_A,Δ_Fcst_vs_Proj_ROS_A,Δ_Fcst_vs_Proj_ROW_PPP,Δ_Fcst_vs_Proj_NW_PPP,Δ_Fcst_vs_Proj_ROS_PPP,Δ_Fcst_vs_Proj_ROW_SOG,Δ_Fcst_vs_Proj_NW_SOG,Δ_Fcst_vs_Proj_ROS_SOG,Δ_Fcst_vs_Proj_ROW_HIT,Δ_Fcst_vs_Proj_NW_HIT,Δ_Fcst_vs_Proj_ROS_HIT,Δ_Fcst_vs_Proj_ROW_BLK,Δ_Fcst_vs_Proj_NW_BLK,Δ_Fcst_vs_Proj_ROS_BLK,Δ_Fcst_vs_Proj_ROW_PIM,Δ_Fcst_vs_Proj_NW_PIM,Δ_Fcst_vs_Proj_ROS_PIM
Alex Ovechkin,WSH,LW;RW,robert's Fabulous Team,0.5563226400000001,1.2679322133333335,0.3135067733333334,6.845508906666668,0.2420564533333333,5.566709226666667,0.2420564533333333,0.3142661866666667,0.7259009600000002,1.6544234311111112,0.4090699377777778,8.932157582222223,0.3158401244444445,7.263554062222222,0.3158401244444445,0.4100608355555556,11.872748480000002,27.05954993777778,6.6906985244444455,146.09329123555557,5.165842951111112,118.80181347555556,5.165842951111112,6.70690552888889,1.5365853658536586,1.1341463414634148,0.9512195121951219,10.317073170731707,5.048780487804878,0.6585365853658537,0.6951219512195123,2.048780487804878,1.5121951219512195,1.2682926829268293,13.75609756097561,6.7317073170731705,0.8780487804878049,0.926829268292683,32.78048780487805,24.195121951219512,20.29268292682927,220.09756097560975,107.70731707317073,14.048780487804878,14.829268292682928,-0.9802627258536585,-1.322879527804878,-20.907739324878047,0.13378587186991875,0.1422283091598917,2.864427986558269,-0.6377127388617885,-0.8592227451490515,-13.601984402384822,-3.471564264065039,-4.823939978753387,-74.00426974005418,0.517928738861789,0.5318467451490516,11.094496402384834,-0.4164801320325204,-0.5622086560433603,-8.882937536693767,-0.38085576455284553,-0.5167684327371274,-8.122362763794037
Evgeni Malkin,PIT,C;LW,Jagrbombs,0.2834138666666667,1.9709715155555552,1.0695627677777777,5.286674475555556,7.055037866666666,0.7706898622222221,0.3398440666666666,1.7683545288888889,0.2885306666666666,2.006555755555555,1.0888728277777775,5.382120955555555,7.182410666666666,0.7846040222222221,0.3459796666666666,1.8002806888888887,8.796205599999999,61.17227391333332,33.19560231166666,164.08045299333332,218.9644576,23.91960055333333,10.5476077,54.883729553333325,0.4878048780487805,0.9024390243902439,0.43902439024390244,3.707317073170732,0.9024390243902439,1.146341463414634,1.3902439024390243,0.4878048780487805,0.9024390243902439,0.43902439024390244,3.707317073170732,0.9024390243902439,1.146341463414634,1.3902439024390243,15.365853658536585,28.426829268292682,13.829268292682928,116.78048780487805,28.426829268292682,36.109756097560975,43.792682926829265,-0.2043910113821138,-0.19927421138211387,-6.569648058536586,1.0685324911653113,1.1041167311653113,32.745444645040635,0.6305383775338753,0.6498484375338751,19.366334018983736,1.5793574023848245,1.6748038823848233,47.299965188455275,-0.1317491621680218,-0.11783500216802179,-4.5072287149593535,-0.8064973967479674,-0.8003617967479675,-25.562148397560975,0.3781106264498646,0.4100367864498644,11.09104662650406
Sidney Crosby,PIT,C,Dan's Dazzling Team,1.259914438888889,0.9610138388888888,0.8253531566666668,4.855234911111112,22.039543527777777,1.5386756388888894,0.8629311944444445,3.161946727777778,1.2826611388888889,0.9783641388888888,0.8402542166666667,4.942892111111112,22.43744902777777,1.5664551388888892,0.8785106944444445,3.219033027777777,39.10347285833333,29.826611558333333,25.616163895,150.6900315666667,684.0327132916666,47.75527545833334,26.78245879166667,98.13610689166669,0.8292682926829268,1.2926829268292683,0.6585365853658537,5.829268292682927,1.7560975609756098,0.975609756097561,0.8536585365853658,0.8292682926829268,1.2926829268292683,0.6585365853658537,5.829268292682927,1.7560975609756098,0.975609756097561,0.8536585365853658,26.121951219512194,40.71951219512195,20.743902439024392,183.6219512195122,55.31707317073171,30.73170731707317,26.890243902439025,0.4306461462059622,0.4533928462059621,12.981521638821139,-0.3316690879403795,-0.3143187879403795,-10.892900636788617,0.16681657130081307,0.18171763130081298,4.8722614559756074,-0.9740333815718145,-0.8863761815718147,-32.931919652845494,-0.2174219220867204,-0.18964242208672055,-7.5617977123983735,-0.1126785616531164,-0.09709906165311644,-3.9492485254064995,2.3082881911924122,2.3653744911924113,71.24586298922766
Anze Kopitar,L.A,C,Jagrbombs,0.5519828999999999,1.3314272533333331,1.137811605,4.171075859999999,29.22755131333333,2.3923086133333333,2.6646578,1.11305362,0.5655980999999999,1.3642682133333337,1.165876845,4.27395954,29.94847755333333,2.4513172533333334,2.7303842,1.14050818,11.8594065,28.60584453333333,24.445993425,89.6159721,627.9567936333333,51.39898413333333,57.250433,23.9140657,0.6585365853658537,1.6463414634146343,0.6951219512195123,3.585365853658536,1.1707317073170733,2.3780487804878048,0.14634146341463417,0.6585365853658537,1.6463414634146343,0.6951219512195123,3.585365853658536,1.1707317073170733,2.3780487804878048,0.14634146341463417,13.829268292682928,34.57317073170732,14.597560975609756,75.29268292682927,24.585365853658537,49.93902439024391,3.073170731707317,-0.10655368536585375,-0.0929384853658538,-1.9698617926829272,-0.31491421008130116,-0.2820732500813006,-5.967326198373993,0.44268965378048775,0.47075489378048785,9.848432449390245,0.5857100063414631,0.6885936863414637,14.323289173170721,1.22157690601626,1.28058554601626,26.81361827967479,0.2866090195121953,0.35233541951219527,7.311408609756093,0.9667121565853659,0.9941667165853659,20.84089496829268
Kris Letang,PIT,D,Jagrbombs,0.0919544177777778,0.882240868888889,,3.234470723333334,0.0,2.781823861111111,3.063434265555556,0.6767536300000001,0.0936145777777777,0.8981689888888889,,3.2928663833333336,0.0,2.832047361111111,3.118742005555556,0.68897185,2.853953386666667,27.381765623333333,,100.38700584500002,0.0,86.33838179166666,95.07861403833334,21.004138365000003,0.21951219512195122,0.6829268292682927,0.2682926829268293,4.2682926829268295,3.1707317073170733,2.8048780487804876,1.4146341463414633,0.21951219512195122,0.6829268292682927,0.2682926829268293,4.2682926829268295,3.1707317073170733,2.8048780487804876,1.4146341463414633,6.914634146341464,21.512195121951223,8.451219512195122,134.45121951219514,99.87804878048782,88.35365853658536,44.56097560975609,-0.12755777734417342,-0.12589761734417354,-4.060680759674797,0.19931403962059624,0.21524215962059612,5.8695705013821105,,,,-1.0338219595934954,-0.9754262995934959,-34.06421366719512,-0.3889078462059623,-0.33868434620596233,-13.539666988821153,0.25855621677506857,0.3138639567750685,6.724955501747985,-0.7378805163414632,-0.7256622963414633,-23.55683724475609
Brad Marchand,FLA,LW;RW,Bar Down Beauties,2.240133226666667,1.0463741333333336,0.7259620266666666,8.761292853333336,0.0,3.4087435200000007,0.7584482133333335,3.604613386666668,2.515322006666667,1.1749157833333337,0.8151427066666665,9.837572363333337,0.0,3.8274900300000008,0.8516196533333334,4.047421496666668,51.6324960088889,24.11772104444445,16.732590275555555,201.93772981777784,0.0,78.56762004000002,17.48135953777778,83.0821953288889,0.8414634146341464,1.1341463414634148,0.5121951219512195,6.548780487804878,3.8414634146341466,1.2439024390243902,2.6707317073170733,0.8414634146341464,1.1341463414634148,0.5121951219512195,6.548780487804878,3.8414634146341466,1.2439024390243902,2.6707317073170733,17.951219512195124,24.195121951219512,10.926829268292684,139.70731707317074,81.95121951219512,26.536585365853657,56.97560975609756,1.3986698120325205,1.6738585920325206,33.681276496693776,-0.08777220813008113,0.04076944186991893,-0.07740090677506117,0.21376690471544713,0.302947584715447,5.805761007262872,2.2125123655284575,3.2887918755284584,62.230412744607094,-0.43271989463414595,-0.01397338463414588,-3.383599472195101,-0.4854542256910568,-0.3922827856910568,-9.055225828075876,0.9338816793495948,1.3766897893495944,26.10658557279134
Patrick Kane,DET,RW,Trocheck Backcheck Paycheque,0.6884592,1.0292117333333335,1.0301411800000002,10.178417253333334,0.0,1.3295935166666668,0.3407525333333334,0.0,0.6678672,0.9984277333333332,0.99932938,9.873978053333332,0.0,1.2898250166666667,0.3305605333333333,0.0,14.160432,21.169130666666668,21.188247800000003,209.35268986666665,0.0,27.347471833333334,7.008698666666666,0.0,0.8780487804878048,1.8292682926829267,1.0975609756097562,7.719512195121951,0.7682926829268293,1.1341463414634148,0.6585365853658537,0.8780487804878048,1.8292682926829267,1.0975609756097562,7.719512195121951,0.7682926829268293,1.1341463414634148,0.6585365853658537,18.4390243902439,38.41463414634146,23.048780487804876,162.109756097561,16.134146341463413,23.817073170731707,13.829268292682928,-0.18958958048780472,-0.21018158048780478,-4.278592390243901,-0.8000565593495932,-0.8308405593495934,-17.245503479674795,-0.06741979560975597,-0.09823159560975614,-1.8605326878048736,2.458905058211383,2.1544658582113803,47.24293376910566,0.5613008337398375,0.5215323337398374,11.21332549186992,-0.7933938081300813,-0.8035858081300815,-16.808374504065043,-0.6585365853658537,-0.6585365853658537,-13.829268292682928
Mikael Backlund,CGY,C,Hughes your daddy,0.5564280833333333,0.7085299633333333,,8.729069619999999,31.05494265333333,2.3220967166666666,0.8031619033333334,0.6156504666666667,0.4938108333333333,0.6287960333333332,,7.746749799999999,27.56019613333333,2.0607811666666667,0.7127786333333334,0.5463686666666667,10.639841666666666,13.548285666666668,,166.914506,593.8227826666666,44.40239833333333,15.35780766666667,11.772273333333333,0.47560975609756095,0.7317073170731707,0.14634146341463417,6.51219512195122,1.8292682926829267,1.9024390243902438,1.1707317073170733,0.47560975609756095,0.7317073170731707,0.14634146341463417,6.51219512195122,1.8292682926829267,1.9024390243902438,1.1707317073170733,9.987804878048781,15.365853658536585,3.073170731707317,136.75609756097563,38.41463414634146,39.951219512195124,24.585365853658537,0.08081832723577231,0.018201077235772356,0.6520367886178846,-0.023177353739837425,-0.10291128373983749,-1.8175679918699164,,,,2.216874498048779,1.234554678048779,30.158408439024356,0.49282842398373994,0.23151287398374,5.987764186991868,-1.0992771210569106,-1.1896603910569103,-24.593411845528454,-0.5550812406504066,-0.6243630406504066,-12.813092520325204
Drew Doughty,L.A,D,Bar Down Beauties,0.4576473066666666,0.6653503733333332,0.0,4.188946626666667,0.0,1.7883480533333336,4.6465939333333335,0.7486651199999999,0.4689356266666666,0.6817618933333333,0.0,4.292271106666667,0.0,1.8324594133333336,4.761206733333333,0.7671316799999999,9.832597066666665,14.295117733333331,0.0,89.99992726666666,0.0,38.42283253333333,99.83252433333334,16.085143199999997,0.4024390243902439,1.1341463414634148,0.5121951219512195,4.317073170731707,2.7439024390243905,4.5,1.8292682926829267,0.4024390243902439,1.1341463414634148,0.5121951219512195,4.317073170731707,2.7439024390243905,4.5,1.8292682926829267,8.451219512195122,23.817073170731707,10.756097560975611,90.65853658536585,57.6219512195122,94.5,38.41463414634146,0.05520828227642266,0.06649660227642268,1.381377554471543,-0.4687959681300815,-0.4523844481300815,-9.521955437398375,-0.5121951219512195,-0.5121951219512195,-10.756097560975611,-0.1281265440650401,-0.02480206406503971,-0.6586093186991917,-0.9555543856910569,-0.9114430256910568,-19.19911868617887,0.14659393333333348,0.2612067333333332,5.332524333333339,-1.0806031726829268,-1.0621366126829268,-22.329490946341465
Steven Stamkos,NSH,C;LW;RW,The Epstein Islanders,0.5822532,0.1380313333333333,0.361460525,5.962973300000001,9.374494533333332,2.2082518000000007,1.4173427666666667,2.452453,0.18048864,0.0427873777777777,0.1120466466666666,1.8484208266666668,2.9059346844444445,0.6845206933333335,0.4393522755555556,0.7602189333333335,12.19224408,2.890343422222223,7.568897768333334,124.86324835333336,196.2996948355556,46.24026958666668,29.678821784444445,51.35378486666667,1.0609756097560976,1.2439024390243902,0.8780487804878048,7.390243902439025,2.524390243902439,1.6829268292682928,1.6463414634146343,0.35365853658536583,0.4146341463414634,0.2926829268292683,2.4634146341463414,0.8414634146341463,0.5609756097560976,0.5487804878048781,21.926829268292682,25.70731707317073,18.146341463414632,152.73170731707316,52.170731707317074,34.78048780487805,34.024390243902445,-0.4787224097560976,-0.17316989658536583,-9.734585188292682,-1.1058711056910568,-0.3718467685636857,-22.81697365094851,-0.5165882554878047,-0.1806362801626017,-10.5774436950813,-1.427270602439024,-0.6149938074796746,-27.868458963739798,-0.3161384439024384,-0.15694272130081277,-5.930462120650397,-0.26558406260162615,-0.121623334200542,-5.101666020433605,0.8061115365853659,0.21143844552845537,17.329394622764227
