Team,Score,TIER
CHI,26,Meh
FLA,52,Good
PIT,64,Good
NYR,40,Meh
COL,86,Excellent
L.A,38,Meh
MTL,26,Meh
TOR,33,Meh
BOS,23,Weak
WSH,76,Excellent
CGY,31,Meh
EDM,29,Meh
VGK,37,Meh
BUF,37,Meh
DET,38,Meh
OTT,20,Weak
T.B,48,Meh
PHI,12,Weak
NYI,42,Meh
N.J,36,Meh
CAR,95,Excellent
MIN,21,Weak
STL,26,Meh
CBJ,59,Good
NSH,18,Weak
DAL,20,Weak
WPG,34,Meh
UTA,45,Meh
VAN,29,Meh
S.J,7,Weak
ANA,64,Good
SEA,7,Weak
