Player,Team,Position,team_name,xPG_G,xPG_A,xPG_PPP,xPG_SOG,xPG_FOW,xPG_HIT,xPG_BLK,xPG_PIM,ROW_G,ROW_A,ROW_PPP,ROW_SOG,ROW_FOW,ROW_HIT,ROW_BLK,ROW_PIM,NW_G,NW_A,NW_PPP,NW_SOG,NW_FOW,NW_HIT,NW_BLK,NW_PIM,ROS_G,ROS_A,ROS_PPP,ROS_SOG,ROS_FOW,ROS_HIT,ROS_BLK,ROS_PIM
Alex Ovechkin,WSH,LW;RW,robert's Fabulous Team,0.21729611111111113,0.48525999999999997,0.2172427777777778,2.159499444444444,0.0,1.9422033333333335,0.0,0.21729611111111113,0.6675336533333334,1.4907187199999998,0.6673698133333335,6.633982293333332,0.0,5.96644864,0.0,0.6675336533333334,0.6342873483333333,1.41647394,0.6341316683333335,6.303578878333332,0.0,5.669291530000001,0.0,0.6342873483333333,14.27396424277778,31.876244139999997,14.270460829444445,141.8553590061111,0.0,127.58139476333332,0.0,14.27396424277778
Evgeni Malkin,PIT,C;LW,Jagrbombs,0.30505666666666664,1.1458366666666666,0.4487377777777779,2.1723033333333333,3.5320833333333335,0.55014,0.17415333333333333,1.0120500000000001,1.1689771466666665,4.390846106666666,1.719563164444445,8.324266373333332,13.534943333333333,2.1081364799999998,0.6673555733333333,3.8781756000000005,0.6284167333333333,2.3604235333333334,0.9243998222222225,4.474944866666666,7.276091666666667,1.1332883999999999,0.35875586666666665,2.084823,19.50471315333333,73.26250479333333,28.691396035555567,138.89273052666667,225.83434416666668,35.174851319999995,11.135015826666667,64.70845290000001
Sidney Crosby,PIT,C,Dan's Dazzling Team,0.7819405555555557,0.621843888888889,0.3472266666666667,2.0288522222222225,10.141546666666667,0.9715622222222224,0.5216833333333334,1.7648616666666668,2.9963962088888896,2.3829057822222226,1.3305725866666667,7.774561715555556,38.862406826666664,3.7230264355555565,1.9990905333333335,6.762949906666667,1.610797544444445,1.2809984111111112,0.7152869333333334,4.179435577777778,20.891586133333334,2.0014181777777784,1.0746676666666668,3.6356150333333335,49.99571524111113,39.75945456777779,22.200978613333337,129.72075338444446,648.4302107733333,62.11974536444446,33.35538896666667,112.84172524333334
Anze Kopitar,L.A,C,Jagrbombs,0.0,0.4570222222222222,,1.5915866666666667,9.035869444444446,1.096512222222222,1.0473261111111112,0.36179277777777774,0.0,1.3792930666666667,,4.80340856,27.27025398333334,3.3092738866666664,3.1608302033333335,1.0918906033333333,0.0,1.3134818666666666,,4.574220080000001,25.969088783333337,3.1513761266666664,3.010015243333333,1.0397924433333332,0.0,30.024988933333333,,104.56246924,593.6295148916668,72.03756346333333,68.80618352166667,23.768700121666665
Brad Marchand,FLA,LW;RW,Bar Down Beauties,0.49917722222222227,0.6133266666666667,0.3865483333333334,3.451055,0.0,0.9983544444444445,0.11414944444444447,1.2933255555555556,1.659265086666667,2.03869784,1.2848866600000004,11.471306820000002,0.0,3.318530173333334,0.37943275333333343,4.299014146666667,1.3897093866666668,1.7075014400000001,1.0761505600000003,9.607737120000001,0.0,2.7794187733333335,0.31779205333333344,3.600618346666667,33.36101211555556,40.989847786666665,25.83379821333334,230.64090776,0.0,66.72202423111112,7.628835671111114,86.4355335288889
Patrick Kane,DET,RW;IR+,Trocheck Backcheck Paycheque,0.4196311111111112,0.4802355555555555,,1.8405466666666666,0.0,0.4196311111111112,0.16084444444444446,0.0,1.1946897733333333,1.3672306266666665,,5.2400363599999995,0.0,1.1946897733333333,0.45792413333333337,0.0,1.2740000533333333,1.4579951466666665,,5.58789968,0.0,1.2740000533333333,0.4883237333333334,0.0,27.37589442666667,31.329607173333333,,120.07358344,0.0,27.37589442666667,10.493169866666669,0.0
Drew Doughty,L.A,D,Bar Down Beauties,0.10081333333333334,0.21948888888888884,,1.3478822222222222,0.0,0.5653511111111111,1.5208133333333334,0.3489977777777778,0.30425464,0.6624174666666666,,4.067908546666667,0.0,1.7062296533333334,4.58981464,1.0532752933333334,0.28973752,0.6308110666666665,,3.8738135066666666,0.0,1.6248190933333333,4.37081752,1.0030196133333333,6.62313356,14.41976153333333,,88.55181835333333,0.0,37.14187194666667,99.91287356000001,22.928107006666668
Steven Stamkos,NSH,C;LW;RW,The Epstein Islanders,0.09999111111111111,0.07171333333333334,0.10083722222222223,2.3012133333333336,2.6955633333333333,0.3768788888888889,0.6514533333333334,0.6377677777777777,0.4059639111111111,0.29115613333333334,0.40939912222222224,9.342926133333334,10.943987133333332,1.5301282888888887,2.6449005333333333,2.5893371777777774,0.30087325333333337,0.21578542000000003,0.3034192016666667,6.924350920000002,8.110950070000001,1.134028576666667,1.9602230800000005,1.9190432433333333,6.4775241688888885,4.645661446666667,6.532336092777778,149.07490094666667,174.62128829666665,24.41459130111111,42.201798386666674,41.31523441222222
Erik Karlsson,PIT,D,robert's Fabulous Team,0.0,0.9108155555555557,0.10093555555555556,1.6506833333333337,0.0,0.0,1.1734555555555555,0.29100000000000004,0.0,3.4902452088888896,0.38678504888888887,6.325418533333335,0.0,0.0,4.496681688888889,1.115112,0.0,1.8762800444444447,0.20792724444444446,3.4004076666666676,0.0,0.0,2.417318444444444,0.5994600000000001,0.0,58.23572499111113,6.453617551111111,105.5413909666667,0.0,0.0,75.0284013111111,18.605958000000005
John Carlson,WSH,D,Autodraft Anomalies,0.21673777777777778,0.5139355555555556,0.32471777777777777,2.461297777777778,0.0,0.6525622222222223,1.2325577777777779,0.15934666666666666,0.6658184533333333,1.5788100266666667,0.9975330133333333,7.561106773333333,0.0,2.004671146666667,3.7864174933333334,0.48951296000000005,0.6326575733333333,1.5001778866666666,0.9478511933333333,7.184528213333333,0.0,1.9048291266666668,3.597836153333333,0.46513292,14.237287884444443,33.75991270888889,21.330386104444443,161.68018972444443,0.0,42.866159815555555,80.96548786444444,10.467323186666667
Roman Josi,NSH,D;IR+,Jagrbombs,0.09954444444444444,0.5016555555555555,0.24917999999999998,2.3506111111111108,0.0,0.5016555555555555,1.6993388888888887,0.8002277777777779,0.40415044444444437,2.0367215555555553,1.0116707999999999,9.54348111111111,0.0,2.0367215555555553,6.8993158888888875,3.248924777777778,0.29952923333333337,1.5094815666666668,0.7497826200000001,7.0729888333333335,0.0,1.5094815666666668,5.113310716666667,2.407885383333334,6.448588655555555,32.49774854444444,16.14212958,152.27493838888887,0.0,32.49774854444444,110.0848725611111,51.839555672222225
Ryan O'Reilly,NSH,C,Hughes your daddy,0.44938,0.4044155555555556,0.17331000000000002,1.6081344444444448,9.631965555555556,0.5494933333333334,0.8537955555555556,0.0,1.8244827999999997,1.6419271555555555,0.7036386,6.529025844444445,39.10578015555556,2.2309429333333335,3.4664099555555556,0.0,1.35218442,1.216886406666667,0.5214897900000001,4.838876543333335,28.98258435666667,1.6534254400000004,2.569070826666667,0.0,29.11128578,26.198444104444444,11.227195110000002,104.17655744555557,623.9683606544445,35.59672762666667,55.30972988444445,0.0
John Tavares,TOR,C,Autodraft Anomalies,0.5417755555555556,0.8114688888888889,0.21664944444444445,2.816137777777778,9.178675555555555,0.8917844444444444,0.21753777777777777,0.0,2.271123128888889,3.4016775822222223,0.9081944711111112,11.805249564444447,38.47700792888889,3.738360391111111,0.9119183644444445,0.0,1.7423501866666666,2.609683946666667,0.6967446133333334,9.056699093333336,29.518620586666668,2.8679787733333333,0.6996014933333333,0.0,35.43049600666667,53.067630926666666,14.168223718333333,184.16696225333337,600.2578453066667,58.32002731333333,14.226318053333333,0.0
Victor Hedman,T.B,D,Autodraft Anomalies,0.0,0.8110088888888891,0.40488444444444444,1.7310422222222226,0.0,0.594528888888889,2.0800666666666667,0.0,0.0,2.265147826666668,1.1308422533333333,4.834800926666668,0.0,1.6605191866666669,5.8096262,0.0,0.0,2.2578487466666677,1.1271982933333333,4.819221546666668,0.0,1.6551684266666669,5.7909056,0.0,0.0,54.201346062222235,27.059237191111112,115.68901379555558,0.0,39.73355470222223,139.01501546666665,0.0
Evander Kane,VAN,LW,Jagrbombs,0.0,0.34794388888888894,0.0,2.3758438888888893,0.2457827777777778,2.1030744444444447,0.7525644444444446,1.3042522222222226,0.0,1.3458469622222224,0.0,9.189764162222223,0.9506877844444445,8.134691951111112,2.9109192711111116,5.044847595555557,0.0,1.137776516666667,0.0,7.769009516666669,0.8037096833333335,6.877053433333334,2.4608857333333343,4.2649047666666675,0.0,22.689420994444447,0.0,154.92877999444445,16.02749493888889,137.1414845222222,49.07472742222223,85.05028741111113
Brayden Schenn,STL,C,P Diddlers,0.18871666666666664,0.29575,0.08008666666666667,1.3243966666666664,7.724989999999999,2.782866666666666,0.29575,1.1356799999999998,0.7276914666666665,1.140412,0.30881418666666666,5.106873546666666,29.787561439999994,10.730733866666665,1.140412,4.379182079999999,0.5406732499999999,0.84732375,0.2294483,3.7943964499999994,22.132096349999998,7.9729129999999975,0.84732375,3.253723199999999,12.454167699999998,19.5177255,5.28523948,87.40223361999998,509.8029900599999,183.65250279999995,19.5177255,74.94806591999999
Oliver Ekman-Larsson,TOR,D,Bros before Ahos,0.10845277777777777,0.6507166666666667,0.21582333333333334,1.4066566666666664,0.0,1.320898333333333,1.0559416666666666,1.189751111111111,0.45463404444444444,2.727804266666667,0.9047314133333334,5.896704746666666,0.0,5.537205813333332,4.426507466666666,4.987436657777778,0.3487841333333333,2.0927048000000004,0.69408784,4.523807839999999,0.0,4.2480090399999995,3.3959083999999997,3.8262395733333334,7.092486308333333,42.55491785000001,14.114198530000001,91.99112602999998,0.0,86.38278830499998,69.055417175,77.80615341333333
Nazem Kadri,CGY,C,Trocheck Backcheck Paycheque,0.20297555555555555,0.55176,0.3759327777777778,2.955592777777778,5.256562222222223,0.723401111111111,0.34878444444444445,0.6948177777777778,0.6162337866666666,1.67514336,1.1413319133333333,8.973179673333334,15.958922906666668,2.196245773333333,1.0589095733333334,2.109466773333333,0.6710371866666667,1.8241185600000003,1.2428337633333333,9.771189723333336,17.37819470666667,2.3915640733333334,1.1530813733333334,2.2970675733333334,13.405520566666667,36.440989200000004,24.828480308333333,195.20212500833335,347.16965196666666,47.777026383333336,23.035468633333334,45.88924013333334
Chris Kreider,ANA,LW;IR+,Bros before Ahos,0.7723472222222223,0.22724500000000003,0.6127838888888889,2.771531666666667,0.0,0.8664672222222223,0.22724500000000003,0.0,2.9967072222222226,0.8817106000000001,2.377601488888889,10.753542866666669,0.0,3.3618928222222224,0.8817106000000001,0.0,2.344846166666667,0.6899158200000001,1.8604118866666666,8.41437014,0.0,2.6305944866666673,0.6899158200000001,0.0,51.58507097222223,15.177693550000003,40.92783593888889,185.1106000166667,0.0,57.87134577222223,15.177693550000003,0.0
Brayden McNabb,VGK,D,Jagrbombs,0.0,0.0,,0.43357333333333337,0.0,1.4063266666666667,3.456620555555556,0.37653111111111115,0.0,0.0,,1.3631545600000001,0.0,4.42149104,10.867615026666668,1.1838138133333336,0.0,0.0,,1.7655106133333336,0.0,5.726562186666667,14.075358902222224,1.5332346844444447,0.0,0.0,,29.29958514666667,0.0,95.03533715333333,233.58804728277778,25.44484289555556
Dmitry Orlov,S.J,D,Autodraft Anomalies,0.0,0.7830194444444444,0.4043388888888889,1.3771138888888892,0.0,1.8630861111111112,1.2748305555555555,1.24595,0.0,2.250397883333333,1.1620699666666667,3.9578253166666673,0.0,5.3545094833333335,3.6638630166666664,3.5808603,0.0,2.384294208333333,1.2312119166666666,4.193311791666667,0.0,5.673097208333333,3.881859041666666,3.7939177499999994,0.0,51.45377373333333,26.56991706666667,90.49290786666668,0.0,122.42711453333334,83.77166546666666,81.8738664
Brenden Dillon,N.J,D,Bar Down Beauties,0.2178794444444445,0.2968838888888889,,1.0566844444444445,0.0,2.349147777777778,1.7535283333333334,0.43514166666666676,0.435758888888889,0.5937677777777778,,2.113368888888889,0.0,4.698295555555556,3.5070566666666667,0.8702833333333335,0.6732474833333335,0.9173712166666667,,3.2651549333333336,0.0,7.258866633333334,5.41840255,1.3445877500000003,14.501184304444447,19.759404108888887,,70.32868988444444,0.0,156.3498794977778,116.70783175333334,28.96128876666667
Radko Gudas,ANA,D;IR+,The Epstein Islanders,0.0,0.2684444444444445,,1.0733111111111113,0.0,3.424977777777778,1.6895333333333333,0.3081111111111111,0.0,1.0415644444444445,,4.164447111111111,0.0,13.288913777777777,6.555389333333333,1.1954711111111112,0.0,0.8149973333333335,,3.258572533333334,0.0,10.398232533333333,5.1294232,0.9354253333333333,0.0,17.929404444444447,,71.68644911111113,0.0,228.7542657777778,112.84393133333334,20.57874111111111
Justin Faulk,STL,D,P Diddlers,0.10887,0.2978777777777778,0.29533333333333334,1.8106483333333334,0.0,0.9926061111111111,1.8053455555555558,0.37801555555555555,0.41980271999999996,1.1486167111111112,1.1388053333333332,6.981859973333333,0.0,3.827489164444444,6.961412462222222,1.4576279822222222,0.31191254999999996,0.8534198333333334,0.8461299999999999,5.187507475,0.0,2.8438165083333335,5.1723150166666665,1.0830145666666666,7.1847667799999995,19.658146066666667,19.490228,119.49192611,0.0,65.50604769666666,119.14197459333334,24.94675857333333
Brock Nelson,COL,C,Bros before Ahos,0.2025516666666667,0.07155555555555558,0.07245333333333334,1.519981666666667,8.630523333333334,0.8254888888888889,0.7398555555555556,0.8114300000000001,0.42211767333333344,0.14912177777777783,0.15099274666666668,3.1676417933333343,17.98601062666667,1.7203188444444446,1.541858977777778,1.6910201200000003,0.7518717866666669,0.2656142222222223,0.2689467733333334,5.642171946666668,32.03650261333334,3.064214755555556,2.7463438222222227,3.0120281600000003,13.692695218333336,4.837227111111113,4.8979177866666666,102.75228064833335,583.4320078566667,55.80387437777778,50.01497541111111,54.85347943
Tyler Seguin,DAL,C;RW,P Diddlers,0.29671333333333333,0.18899666666666667,0.21603722222222224,1.455982222222222,5.4372766666666665,0.5951105555555555,0.5138305555555556,0.2176911111111111,1.1939744533333334,0.7605225866666667,0.8693337822222224,5.858872462222221,21.879601306666665,2.3947248755555552,2.0676541555555557,0.8759890311111111,0.8233794999999999,0.5244657500000001,0.5995032916666668,4.040350666666667,15.08844275,1.6514317916666665,1.4258797916666668,0.6040928333333334,19.583970139999998,12.474346989999999,14.259104778333333,96.09919461333332,358.87657182999993,39.279081998333325,33.91435815833333,14.368266406666665
Mikael Granlund,ANA,C;LW;RW;IR+,Jagrbombs,0.2670866666666667,0.7323555555555556,0.2665022222222222,2.531562222222222,8.528770555555555,0.3994777777777778,0.3661777777777778,0.531868888888889,1.0362962666666669,2.841539555555556,1.0340286222222221,9.82246142222222,33.09162975555555,1.549973777777778,1.420769777777778,2.063651288888889,0.8108751200000001,2.2234314666666672,0.8091007466666666,7.685822906666666,25.893347406666667,1.2128145333333336,1.1117157333333336,1.614753946666667,17.83871846666667,48.91402755555556,17.79968342222222,169.08304082222222,569.6365854055556,26.68112077777778,24.45701377777778,35.52352308888889
Nino Niederreiter,WPG,LW;RW,The Epstein Islanders,0.29615444444444444,0.4052477777777778,,1.833337777777778,0.08036,1.833337777777778,0.2679,0.651688888888889,0.9844173733333335,1.3470436133333334,,6.094014773333334,0.26711664,6.094014773333334,0.8904996000000002,2.1662138666666673,0.8884633333333334,1.2157433333333334,,5.500013333333333,0.24108000000000002,5.500013333333333,0.8037000000000001,1.955066666666667,19.51272788111111,26.700560334444447,,120.79312616444446,5.29467932,120.79312616444446,17.651127300000002,42.93782582222223
Mark Stone,VGK,RW;IR;IR+,Bar Down Beauties,0.40041333333333334,1.8666844444444448,,3.4646133333333338,0.0,0.4666888888888888,0.7341022222222222,0.0,1.2588995200000002,5.868855893333334,,10.892744320000002,0.0,1.4672698666666666,2.308017386666667,0.0,1.6304830933333334,7.60113905777778,,14.107905493333336,0.0,1.9003571555555554,2.989264248888889,0.0,27.05873182666667,126.14493470222224,,234.12817522666668,0.0,31.53743504444444,49.60842587111111,0.0
Josh Manson,COL,D,P Diddlers,0.10036555555555556,0.10036555555555556,,1.4324722222222221,0.0,1.8122411111111112,1.65225,1.2035049999999998,0.2091618177777778,0.2091618177777778,,2.985272111111111,0.0,3.776710475555556,3.443289,2.5081044199999996,0.37255694222222224,0.37255694222222224,,5.317336888888889,0.0,6.727039004444445,6.133152,4.467410559999999,6.78481192111111,6.78481192111111,,96.83655469444444,0.0,122.50931135222221,111.69375224999999,81.35814150499998
Dylan DeMelo,WPG,D,Jagrbombs,0.10750666666666668,0.3761022222222222,,0.6738533333333334,0.0,0.8349422222222223,2.296355555555556,0.7529333333333335,0.3573521600000001,1.2501637866666666,,2.2398884800000003,0.0,2.775347946666667,7.633085866666669,2.5027504000000005,0.32252000000000003,1.1283066666666666,,2.02156,0.0,2.5048266666666668,6.889066666666668,2.2588000000000004,7.083291746666668,24.780247115555557,,44.39817457333334,0.0,55.01183819555556,151.29997848888894,49.608518533333346
Vincent Trocheck,NYR,C;IR;IR+,Trocheck Backcheck Paycheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Coleman,CGY,C;LW;RW,The Epstein Islanders,0.44990833333333335,0.10112222222222222,0.0,2.825219444444445,0.4786283333333334,2.0587850000000003,0.5665911111111113,0.34938444444444444,1.3659217000000001,0.30700706666666666,0.0,8.577366233333336,1.4531156200000002,6.250471260000001,1.7201706133333339,1.0607311733333333,1.4873969500000002,0.3343100666666667,0.0,9.340175483333336,1.5823452700000002,6.806343210000001,1.873150213333334,1.1550649733333334,29.714195875,6.678617166666667,0.0,186.59161820833336,31.611008275000003,135.97245532500003,37.42050993333335,23.075095633333333
Jean-Gabriel Pageau,NYI,C;RW,Bar Down Beauties,0.23508333333333334,0.35140333333333335,,0.9109333333333334,8.524703333333335,1.852436666666667,0.6474300000000001,0.0,0.72429175,1.08267367,,2.8065856,26.264610970000003,5.70735737,1.99473183,0.0,0.8782713333333334,1.3128428533333334,,3.4032469333333335,31.84829165333334,6.920703386666668,2.4187984800000004,0.0,15.387379583333333,23.001105183333333,,59.62514133333333,557.9844566833334,121.25124201666668,42.377530650000004,0.0
Boone Jenner,CBJ,C;LW,Boats and Ahos,0.20570000000000005,0.4119677777777778,0.20604888888888892,2.028961111111111,3.9635333333333342,2.381216666666667,1.1170466666666667,1.4698700000000002,0.8302052000000001,1.6627019511111112,0.8316133155555556,8.188887044444444,15.996820533333336,9.610590466666666,4.508400346666667,5.93239532,0.6041409000000002,1.2099493633333334,0.6051655866666668,5.959058783333334,11.640897400000002,6.9936333500000005,3.28076606,4.317008190000001,13.457922500000004,26.952991861111116,13.480748555555557,132.74478069444444,259.3141683333334,155.7911004166667,73.08277816666667,96.16624475000002
William Karlsson,VGK,C,Dan's Dazzling Team,0.43503944444444453,0.2172583333333334,,2.021617777777778,6.077635000000001,0.0801377777777778,1.0791077777777778,0.3205511111111112,1.3677640133333338,0.6830602000000002,,6.355966293333335,19.108084440000003,0.2519531733333334,3.3927148533333336,1.0078126933333336,1.7714806177777782,0.8846759333333336,,8.232027591111112,24.748129720000005,0.32632103111111116,4.394126871111111,1.3052841244444446,29.398660537222227,14.68166639166667,,136.61486456888892,410.70834039500005,5.41547060888889,72.92286629888889,21.66188243555556
Nikita Kucherov,T.B,RW,Autodraft Anomalies,0.47915333333333343,0.8403983333333334,0.37898333333333334,2.9785550000000005,0.0,0.24097333333333337,0.24097333333333337,0.28082666666666667,1.3382752600000003,2.3472325450000002,1.0585004500000001,8.319104115000002,0.0,0.6730385200000002,0.6730385200000002,0.78434888,1.3339628800000003,2.33966896,1.0550896,8.292297120000002,0.0,0.6708697600000001,0.6708697600000001,0.7818214400000001,32.02277557333334,56.16550141333333,25.328214133333333,199.06278776000002,0.0,16.104729813333332,16.104729813333332,18.768207786666665
Ryan Nugent-Hopkins,EDM,C;LW,Bros before Ahos,0.4505466666666667,0.6522533333333334,0.6491344444444446,1.7107022222222226,2.6661333333333337,0.5798177777777779,0.20170666666666667,0.3465777777777778,1.3110908000000001,1.8980572,1.8889812333333338,4.978143466666668,7.7584480000000005,1.6872697333333335,0.5869664,1.0085413333333333,1.6778357866666669,2.4289914133333337,2.4173766711111115,6.3706550755555575,9.928680533333335,2.159241404444445,0.7511556266666667,1.2906556444444446,29.75770624,43.080028160000005,42.87403178666668,112.98846037333335,176.09277440000002,38.29580458666667,13.32232192,22.890769066666667
Jonathan Huberdeau,CGY,C;LW,The Epstein Islanders,0.16624999999999998,0.33249999999999996,0.16633611111111113,1.6658249999999997,0.16624999999999998,0.49874999999999997,0.33249999999999996,0.6649999999999999,0.5047349999999999,1.0094699999999999,0.5049964333333334,5.057444699999999,0.5047349999999999,1.5142049999999998,1.0094699999999999,2.0189399999999997,0.5496224999999999,1.0992449999999998,0.5499071833333334,5.507217449999999,0.5496224999999999,1.6488675,1.0992449999999998,2.1984899999999996,10.979981249999998,21.959962499999996,10.985668458333334,110.01941212499997,10.979981249999998,32.93994375,21.959962499999996,43.91992499999999
Mika Zibanejad,NYR,C;RW,The Epstein Islanders,0.37770555555555557,0.20291444444444445,0.20230833333333334,3.4058533333333334,6.967325555555556,1.3773533333333334,0.6507866666666667,0.20291444444444445,1.2147010666666669,0.6525728533333335,0.6506236000000001,10.953224320000002,22.40691898666667,4.4295683200000004,2.0929299200000004,0.6525728533333335,1.4519001555555555,0.7800031244444444,0.7776732333333334,13.092100213333334,26.782399435555558,5.294546213333334,2.5016239466666668,0.7800031244444444,24.7948589,13.320521620000001,13.280732850000001,223.58064792000002,457.37705342000004,90.41773692000001,42.72154152,13.320521620000001
Mark Scheifele,WPG,C,P Diddlers,0.78254,0.6739022222222224,0.5417994444444445,2.7022266666666668,7.939371111111113,0.26796444444444445,0.21595111111111115,0.3199777777777778,2.6011629600000004,2.2400509866666676,1.8009413533333336,8.98220144,26.390469573333338,0.8907138133333334,0.7178214933333334,1.0636061333333335,2.34762,2.021706666666667,1.6253983333333335,8.10668,23.818113333333336,0.8038933333333333,0.6478533333333334,0.9599333333333334,51.55921298,44.401395715555566,35.69753999611112,178.0416083866667,523.1013443977779,17.655373351111113,14.228370857777781,21.082375844444446
Dougie Hamilton,N.J,D,Bar Down Beauties,0.4048777777777778,0.10787555555555557,0.21606111111111115,2.6796711111111113,0.0,1.1895244444444444,1.6800311111111113,0.537171111111111,0.8097555555555556,0.21575111111111114,0.4321222222222223,5.359342222222223,0.0,2.3790488888888888,3.3600622222222225,1.074342222222222,1.2510723333333336,0.33333546666666675,0.6676288333333334,8.280183733333333,0.0,3.6756305333333334,5.191296133333334,1.6598587333333332,26.947045377777776,7.179765475555556,14.380163311111113,178.34819047111114,0.0,79.16998892444444,111.81615063111111,35.751960471111104
J.T. Miller,NYR,C;RW,Trocheck Backcheck Paycheque,0.17344888888888893,0.34895555555555563,0.17319555555555555,2.2600622222222224,10.892357777777779,2.3909577777777775,0.34895555555555563,0.34895555555555563,0.5578116266666667,1.122241066666667,0.5569969066666667,7.268360106666668,35.029822613333344,7.689320213333333,1.122241066666667,1.122241066666667,0.666737528888889,1.3413851555555558,0.6657637155555555,8.687679182222222,41.87022329777778,9.190841697777776,1.3413851555555558,1.3413851555555558,11.386225760000004,22.907536400000005,11.36959544,148.36404464,715.0397186800001,156.95681427999997,22.907536400000005,22.907536400000005
