Player,Team,Position,szn_GP_all,szn_TOI/GP_all,szn_G,szn_A,szn_SOG,szn_HIT,szn_BLK,szn_PIM,szn_FOW,l7_GP_all,l7_TOI/GP_all,l7_G,l7_A,l7_SOG,l7_HIT,l7_BLK,l7_PIM,l7_FOW,szn_GP_pp,szn_TOI/GP_pp,szn_PPP,l7_GP_pp,l7_TOI/GP_pp,l7_PPP
Ozzy Wiesblatt,NSH,C,5,00:11:06,0.0,1.08,4.32,14.05,3.24,0.0,0.0,1.0,00:11:18,0.0,0.0,5.31,26.55,5.31,0.0,0.0,,,,,,
Jake Sanderson,OTT,D,80,00:24:26,0.34,1.41,5.98,1.17,5.0,0.37,0.0,6.0,00:24:49,0.4,2.01,10.07,0.4,5.24,0.0,0.0,80.0,00:03:26,6.54,6.0,00:04:55,6.1
Alexis Lafrenière,NYR,L,82,00:17:00,0.73,1.2,6.58,5.16,1.16,1.64,0.56,7.0,00:14:34,0.59,0.59,4.7,5.88,1.76,5.88,0.0,82.0,00:01:34,1.86,,,
Dawson Mercer,N.J,C,82,00:17:53,0.78,0.7,5.77,1.68,2.45,0.65,3.93,7.0,00:19:25,0.88,1.32,5.29,0.88,2.21,1.76,6.18,82.0,00:01:33,3.76,7.0,00:01:43,4.95
Justin Barron,"MTL, NSH",D,62,00:17:25,0.33,0.39,4.05,4.39,4.61,1.28,0.0,,,,,,,,,,,,,,,
Anton Lundell,FLA,C,79,00:16:42,0.77,1.27,7.18,5.0,2.45,1.64,24.63,5.0,00:17:46,0.67,0.67,11.47,2.02,1.35,0.0,27.67,79.0,00:01:17,3.54,,,
Tim Stützle,OTT,C,82,00:19:48,0.89,2.03,5.98,4.73,1.66,1.7,7.2,7.0,00:18:28,1.39,1.86,8.82,6.5,2.32,5.57,15.31,82.0,00:03:29,6.91,7.0,00:04:21,7.86
Lukas Reichel,CHI,L,70,00:11:54,0.58,1.01,5.18,1.73,2.09,0.86,10.22,4.0,00:10:45,1.39,0.0,5.57,0.0,2.79,0.0,0.0,70.0,00:01:05,1.58,,,
Sam Colangelo,ANA,R,32,00:12:29,1.5,0.3,6.16,10.06,2.55,0.3,0.6,7.0,00:13:04,1.31,0.0,5.9,9.17,1.31,0.0,0.0,32.0,00:01:12,3.09,,,
Brock Faber,MIN,D,78,00:25:31,0.3,0.57,3.74,1.05,3.47,0.69,0.0,7.0,00:27:30,0.93,0.62,6.86,0.31,4.05,0.62,0.0,78.0,00:02:15,3.41,,,
Quinton Byfield,L.A,R,81,00:18:37,0.91,1.23,6.28,3.18,1.31,1.83,16.51,6.0,00:19:13,2.08,1.56,6.76,4.16,1.56,3.12,17.69,81.0,00:01:59,2.6,6.0,00:04:27,6.72
Alexander Holtz,VGK,R,53,00:11:35,0.39,0.78,6.74,3.81,1.47,0.98,0.29,4.0,00:12:23,1.21,0.0,8.47,0.0,2.42,2.42,0.0,,,,,,
Emil Andrae,PHI,D,42,00:17:20,0.08,0.49,4.28,3.79,4.12,1.32,0.0,7.0,00:13:44,0.0,0.62,3.12,3.12,3.12,1.25,0.0,42.0,00:01:19,3.25,,,
Donovan Sebrango,OTT,D,2,00:10:18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Brett Berard,NYR,L,35,00:10:42,0.96,0.64,9.44,8.48,3.2,1.28,0.48,4.0,00:11:48,2.54,0.0,15.25,10.17,2.54,0.0,0.0,,,,,,
Thomas Bordeleau,S.J,C,1,00:10:37,0.0,0.0,5.64,0.0,0.0,0.0,5.64,1.0,00:10:37,0.0,0.0,5.64,0.0,0.0,0.0,5.64,,,,,,
Jamie Drysdale,PHI,D,70,00:19:55,0.3,0.56,2.71,0.77,4.39,0.95,0.0,7.0,00:19:15,0.45,0.0,3.12,1.34,5.34,1.78,0.0,70.0,00:02:10,2.76,,,
Jack Thompson,S.J,D,31,00:15:47,0.49,0.74,5.03,1.47,6.62,1.23,0.0,5.0,00:16:40,0.0,1.44,2.16,0.0,10.8,0.0,0.0,31.0,00:01:08,5.1,,,
Mavrik Bourque,DAL,C,73,00:12:41,0.71,0.91,5.18,2.98,2.4,0.52,10.43,7.0,00:14:05,0.61,0.0,5.47,3.04,3.65,0.0,6.69,,,,,,
Luke Evangelista,NSH,R,68,00:13:52,0.64,1.4,8.52,1.78,0.83,1.4,0.0,7.0,00:15:47,0.54,2.17,12.49,1.63,0.54,0.0,0.0,68.0,00:01:18,3.39,7.0,00:01:49,0.0
Hendrix Lapierre,WSH,C,27,00:09:47,0.0,1.81,4.08,2.95,3.18,0.91,9.07,,,,,,,,,,,,,,,
Cole Perfetti,WPG,C,82,00:15:11,0.87,1.54,6.89,3.42,2.17,0.96,1.01,7.0,00:17:47,0.48,0.96,6.26,2.41,0.96,0.0,0.96,82.0,00:01:42,6.4,7.0,00:02:50,0.0
Brendan Brisson,VGK,C,9,00:09:52,0.0,0.0,4.73,6.08,0.0,0.0,0.0,,,,,,,,,,,,,,,
Alex Laferriere,L.A,R,77,00:16:31,0.9,1.08,9.1,5.84,2.03,0.94,1.7,7.0,00:15:30,1.66,2.21,12.17,8.29,2.21,0.0,6.64,77.0,00:01:41,1.85,,,
Will Cuylle,NYR,L,82,00:15:04,0.97,1.21,7.38,14.56,2.43,2.04,0.49,7.0,00:15:03,1.14,2.28,9.68,11.38,3.98,1.14,0.57,,,,,,
Tyson Foerster,PHI,R,81,00:16:51,1.1,0.79,6.24,3.29,2.37,2.15,0.0,7.0,00:17:49,3.37,0.48,7.69,2.89,1.44,1.92,0.0,81.0,00:01:56,3.05,7.0,00:02:40,9.59
Shakir Mukhamadullin,S.J,D,30,00:18:04,0.22,0.77,3.32,2.77,5.65,0.89,0.0,,,,,,,,,,,,,,,
Helge Grans,PHI,D,6,00:14:27,0.0,0.69,3.46,2.77,3.46,1.38,0.0,,,,,,,,,,,,,,,
Landon Slaggert,CHI,L,33,00:12:18,0.3,0.59,5.02,3.69,1.92,3.4,0.0,7.0,00:11:34,0.0,2.22,3.7,2.96,1.48,1.48,0.0,,,,,,
JJ Peterka,BUF,R,77,00:18:11,1.16,1.76,7.41,1.29,0.69,1.46,0.09,7.0,00:16:25,2.09,2.09,7.31,0.52,2.09,2.09,0.0,77.0,00:02:54,4.82,7.0,00:02:03,12.46
