Player,Team,Position,szn_GP_all,szn_TOI/GP_all,szn_G,szn_A,szn_SOG,szn_HIT,szn_BLK,szn_PIM,szn_FOW,l7_GP_all,l7_TOI/GP_all,l7_G,l7_A,l7_SOG,l7_HIT,l7_BLK,l7_PIM,l7_FOW,szn_GP_pp,szn_TOI/GP_pp,szn_PPP,l7_GP_pp,l7_TOI/GP_pp,l7_PPP
Declan Carlile,T.B,D,3,00:13:00,1.54,0.0,4.61,1.54,3.08,0.0,0.0,,,,,,,,,,,,,,,
Taylor Ward,L.A,R,1,00:14:52,4.04,0.0,16.14,12.11,0.0,0.0,4.04,1.0,00:14:52,4.04,0.0,16.14,12.11,0.0,0.0,4.04,,,,,,
Owen Beck,MTL,C,12,00:09:58,0.0,0.5,5.01,11.52,4.01,0.0,10.52,,,,,,,,,,,,,,,
Lian Bichsel,DAL,D,38,00:14:53,0.42,0.53,4.14,16.44,2.44,4.35,0.0,6.0,00:15:33,0.64,0.64,5.14,14.78,2.57,2.57,0.0,,,,,,
Seamus Casey,N.J,D,14,00:12:38,1.36,1.36,4.07,3.39,2.37,0.0,0.0,4.0,00:14:23,0.0,3.13,3.13,3.13,0.0,0.0,0.0,14.0,00:01:06,11.59,,,
Logan Cooley,UTA,C,75,00:17:51,1.12,1.79,7.08,2.82,1.43,2.06,15.23,7.0,00:17:18,1.49,2.97,7.43,2.97,1.98,1.98,16.35,75.0,00:02:19,6.86,,,
Luca Del Bel Belluz,CBJ,C,15,00:13:45,0.58,1.75,5.24,1.16,3.49,0.0,18.9,,,,,,,,,,,,,,,
Cutter Gauthier,ANA,L,82,00:14:09,1.03,1.24,9.82,3.51,2.64,1.03,1.09,7.0,00:15:24,2.78,0.56,12.8,2.23,3.34,2.23,0.56,82.0,00:01:33,2.83,,,
Conor Geekie,T.B,C,52,00:12:19,0.75,0.56,5.62,9.08,2.34,1.5,6.83,3.0,00:15:16,2.62,0.0,7.85,14.4,3.93,2.62,2.62,,,,,,
Isaiah George,NYI,D,33,00:15:38,0.12,0.46,3.02,1.63,3.95,0.7,0.0,,,,,,,,,,,,,,,
Ryan Greene,CHI,C,2,00:13:12,0.0,0.0,2.27,0.0,6.82,0.0,13.64,2.0,00:13:12,0.0,0.0,2.27,0.0,6.82,0.0,13.64,,,,,,
Lane Hutson,MTL,D,82,00:22:43,0.19,1.93,2.93,1.29,3.96,1.09,0.0,7.0,00:23:22,0.37,1.1,2.2,0.37,2.93,0.0,0.0,82.0,00:02:48,6.76,7.0,00:02:59,2.87
David Jiricek,"CBJ, MIN",D,12,00:12:07,0.41,0.83,3.71,4.95,2.89,2.48,0.0,,,,,,,,,,,,,,,
Devin Kaplan,PHI,R,1,00:12:12,0.0,0.0,0.0,4.92,0.0,0.0,0.0,1.0,00:12:12,0.0,0.0,0.0,4.92,0.0,0.0,0.0,,,,,,
Marco Kasper,DET,C,77,00:15:27,0.96,0.91,7.31,7.87,2.42,1.71,14.17,7.0,00:16:55,1.52,1.52,11.65,6.58,1.01,1.01,21.78,77.0,00:01:07,2.76,7.0,00:01:39,0.0
Joakim Kemell,NSH,R,2,00:10:20,0.0,0.0,23.21,11.6,2.9,0.0,0.0,,,,,,,,,,,,,,,
Kevin Korchinski,CHI,D,16,00:17:05,0.22,0.22,3.07,0.44,3.07,1.76,0.0,5.0,00:16:54,0.71,0.71,2.13,0.0,2.84,2.84,0.0,,,,,,
Kirill Kudryavtsev,VAN,D,2,00:14:07,0.0,0.0,4.25,0.0,10.61,0.0,0.0,2.0,00:14:07,0.0,0.0,4.25,0.0,10.61,0.0,0.0,,,,,,
Jiri Kulich,BUF,C,62,00:14:47,0.98,0.59,8.77,2.62,2.36,1.18,16.62,7.0,00:16:19,0.53,1.05,7.88,1.05,1.58,0.0,21.0,62.0,00:01:24,0.0,,,
Brad Lambert,WPG,C,5,00:11:36,0.0,1.03,1.03,5.17,4.14,2.07,5.17,,,,,,,,,,,,,,,
Maveric Lamoureux,UTA,D,15,00:16:07,0.25,0.5,4.22,4.47,2.73,10.42,0.0,,,,,,,,,,,,,,,
Jonathan Lekkerimäki,VAN,R,24,00:12:30,0.6,0.6,6.0,3.2,1.2,0.4,0.0,1.0,00:12:34,0.0,4.77,0.0,4.77,0.0,0.0,0.0,24.0,00:01:54,2.63,,,
Cam Lund,S.J,C,11,00:11:30,0.95,0.47,5.69,3.32,0.95,1.9,0.95,6.0,00:10:38,0.0,0.94,2.82,5.64,0.94,0.0,0.94,,,,,,
Tristan Luneau,ANA,D,6,00:16:33,0.0,0.0,3.62,3.02,5.44,1.21,0.0,,,,,,,,,,,,,,,
Denton Mateychuk,CBJ,D,45,00:18:02,0.3,0.67,3.25,1.92,4.66,1.48,0.0,7.0,00:18:36,0.0,0.92,3.69,3.22,3.69,1.84,0.0,,,,,,
Rutger McGroarty,PIT,R,8,00:14:36,0.51,1.03,5.65,6.16,2.57,0.0,0.0,4.0,00:16:16,0.92,1.84,5.53,3.69,3.69,0.0,0.0,,,,,,
Fraser Minten,"BOS, TOR",C,21,00:13:01,0.66,0.44,5.27,10.53,2.19,0.44,16.89,,,,,,,,,,,,,,,
Pavel Mintyukov,ANA,D,68,00:17:35,0.25,0.7,3.46,4.06,4.61,1.0,0.0,6.0,00:18:26,0.0,0.54,1.63,2.17,5.96,1.08,0.0,,,,,,
Ivan Miroshnichenko,WSH,L,18,00:09:20,0.36,1.07,5.0,9.99,2.85,0.0,0.0,,,,,,,,,,,,,,,
Frank Nazar,CHI,C,53,00:15:52,0.86,1.0,6.49,2.14,2.5,1.71,12.13,7.0,00:17:17,2.48,1.49,8.43,2.98,3.97,0.99,14.88,53.0,00:01:20,3.39,7.0,00:01:52,13.65
Simon Nemec,N.J,D,27,00:14:58,0.3,0.3,3.86,0.3,3.86,2.08,0.0,4.0,00:16:31,0.91,0.0,5.44,0.91,0.91,1.81,0.0,,,,,,
Jani Nyman,SEA,R,12,00:13:59,1.07,1.07,7.86,4.65,2.5,1.43,0.36,2.0,00:14:22,0.0,0.0,0.0,2.09,4.18,4.18,0.0,12.0,00:02:19,6.47,,,
Liam Ohgren,MIN,L,24,00:11:06,0.45,0.68,7.2,5.63,2.7,0.45,0.0,,,,,,,,,,24.0,00:01:07,2.22,,,
Noah Ostlund,BUF,C,8,00:10:32,0.0,0.0,2.85,0.71,2.13,1.42,5.69,7.0,00:10:49,0.0,0.0,3.17,0.79,2.38,0.0,6.34,,,,,,
Owen Pickering,PIT,D,25,00:14:48,0.16,0.32,2.43,2.11,3.08,0.97,0.0,,,,,,,,,,,,,,,
Matthew Poitras,BOS,C,33,00:13:05,0.14,1.39,4.03,1.67,1.39,1.11,8.2,,,,,,,,,,33.0,00:01:00,0.0,,,
Sam Rinzel,CHI,D,9,00:23:21,0.0,1.43,6.28,3.42,1.14,0.0,0.0,7.0,00:23:46,0.0,1.8,5.77,3.25,1.44,0.0,0.0,9.0,00:02:24,8.32,7.0,00:02:16,11.32
Matt Savoie,EDM,C,4,00:12:31,0.0,1.2,7.19,3.6,1.2,0.0,4.79,,,,,,,,,,,,,,,
Juraj Slafkovsky,MTL,L,79,00:17:20,0.79,1.44,5.82,8.45,2.71,1.97,0.22,,,,,,,,,,79.0,00:03:06,2.45,,,
Jimmy Snuggerud,STL,R,7,00:15:28,0.55,1.66,5.54,1.66,2.22,0.0,0.0,7.0,00:15:28,0.55,1.66,5.54,1.66,2.22,0.0,0.0,7.0,00:02:06,4.07,7.0,00:02:06,4.07
Shane Wright,SEA,C,79,00:14:04,1.03,1.35,4.91,2.92,3.35,0.97,19.92,7.0,00:14:37,1.17,1.17,7.03,0.59,2.93,0.0,18.76,79.0,00:01:55,5.13,7.0,00:02:24,3.56
Brian Halonen,N.J,L,2,00:13:54,0.0,0.0,4.32,4.32,2.16,0.0,0.0,,,,,,,,,,,,,,,
Owen Sillinger,CBJ,C,1,00:13:09,0.0,0.0,0.0,4.56,4.56,9.13,9.13,,,,,,,,,,,,,,,
Lucas Condotta,MTL,L,7,00:08:12,1.04,0.0,5.22,10.45,3.13,0.0,17.76,,,,,,,,,,,,,,,
Marc Gatcomb,NYI,C,39,00:09:47,1.26,0.16,6.44,23.42,3.62,1.73,0.79,7.0,00:11:41,1.47,0.0,10.99,24.18,5.13,0.0,0.73,,,,,,
Nick Blankenburg,NSH,D,60,00:19:33,0.2,0.61,4.3,2.71,3.78,1.23,0.0,7.0,00:21:32,0.4,0.8,3.58,1.99,3.18,1.59,0.0,60.0,00:01:04,5.61,7.0,00:02:15,7.57
Georgii Merkulov,BOS,C,6,00:13:43,0.0,0.73,5.1,1.46,5.1,1.46,0.0,,,,,,,,,,,,,,,
Wyatt Aamodt,COL,D,2,00:17:07,1.75,0.0,5.26,10.52,15.77,0.0,0.0,2.0,00:17:07,1.75,0.0,5.26,10.52,15.77,0.0,0.0,,,,,,
Ben Meyers,SEA,C,8,00:08:21,0.0,0.0,3.59,8.08,0.9,1.8,21.55,,,,,,,,,,,,,,,
Ethen Frank,WSH,C,24,00:10:49,0.92,0.69,5.31,2.54,3.7,1.39,0.0,2.0,00:12:58,0.0,0.0,4.62,2.31,9.25,0.0,0.0,,,,,,
Adam Klapka,CGY,R,31,00:09:39,1.2,0.8,8.82,21.46,5.01,5.82,1.2,7.0,00:13:49,1.86,1.24,8.06,16.74,4.34,1.24,0.0,,,,,,
Elias Pettersson,VAN,D,28,00:12:49,0.17,0.33,3.18,6.52,2.67,2.84,0.0,7.0,00:14:28,0.59,0.0,2.37,7.69,2.96,5.33,0.0,,,,,,
Nikita Grebenkin,TOR,R,7,00:08:44,0.0,0.0,1.96,12.74,0.98,1.96,0.98,,,,,,,,,,,,,,,
Victor Mancini,"NYR, VAN",D,31,00:15:18,0.25,0.76,3.41,4.81,5.18,1.26,0.0,,,,,,,,,,,,,,,
Andrei Kuzmenko,"CGY, L.A, PHI",L,66,00:15:37,0.64,1.51,4.83,1.11,1.28,0.81,0.06,,,,,,,,,,66.0,00:02:45,4.28,,,
Ivan Ivan,COL,C,40,00:10:02,0.75,0.45,5.08,1.79,1.34,1.2,8.37,,,,,,,,,,,,,,,
Parker Ford,WPG,C,3,00:07:49,2.55,0.0,5.11,12.77,2.55,5.11,0.0,,,,,,,,,,,,,,,
Max Sasson,VAN,C,29,00:10:19,0.6,0.8,6.21,3.6,2.6,0.0,9.41,5.0,00:11:27,1.05,0.0,6.29,4.19,0.0,0.0,22.0,,,,,,
Connor Bedard,CHI,C,82,00:20:17,0.83,1.59,7.03,1.7,1.33,2.52,9.05,7.0,00:20:17,1.27,2.11,7.6,1.69,0.84,3.38,9.29,82.0,00:02:37,8.1,7.0,00:02:23,10.74
Zach Benson,BUF,L,75,00:14:49,0.54,0.97,6.48,1.89,1.57,3.24,0.22,7.0,00:16:36,0.0,1.03,7.22,4.64,0.52,1.03,0.0,75.0,00:01:24,2.27,,,
Hunter Brzustewicz,CGY,D,1,00:18:22,0.0,0.0,6.53,3.26,0.0,6.53,0.0,1.0,00:18:22,0.0,0.0,6.53,3.26,0.0,6.53,0.0,,,,,,
Luca Cagnoni,S.J,D,6,00:17:38,0.0,1.13,3.97,0.57,5.1,4.53,0.0,1.0,00:17:43,0.0,3.38,0.0,0.0,3.38,13.53,0.0,6.0,00:03:02,3.29,,,
Leo Carlsson,ANA,C,76,00:16:14,0.97,1.22,5.54,1.17,1.75,0.68,14.68,7.0,00:17:52,0.0,2.4,7.68,0.0,0.96,0.96,23.51,76.0,00:02:28,2.23,7.0,00:01:31,0.0
Dalibor Dvorsky,STL,"C, R",2,00:09:24,0.0,0.0,6.38,0.0,0.0,0.0,9.57,,,,,,,,,,,,,,,
Adam Fantilli,CBJ,C,82,00:17:28,1.3,0.96,8.0,4.73,2.34,0.75,17.58,7.0,00:15:19,3.92,0.0,10.07,4.48,1.68,2.24,10.63,82.0,00:01:34,1.87,,,
Samuel Honzek,CGY,L,5,00:12:23,0.0,0.0,5.81,5.81,1.94,1.94,0.0,,,,,,,,,,,,,,,
Ryan Leonard,WSH,R,9,00:14:10,0.47,0.0,7.99,8.46,1.88,5.17,0.47,7.0,00:13:56,0.61,0.0,9.83,6.76,2.46,6.76,0.61,,,,,,
Oliver Moore,CHI,C,9,00:13:34,0.0,1.96,4.91,2.95,0.98,1.96,5.4,7.0,00:13:34,0.0,2.52,5.05,3.79,0.63,2.52,6.94,,,,,,
Bradly Nadeau,CAR,L,2,00:11:28,0.0,2.61,20.9,5.22,2.61,0.0,0.0,2.0,00:11:28,0.0,2.61,20.9,5.22,2.61,0.0,0.0,,,,,,
Gabe Perreault,NYR,R,5,00:14:26,0.0,0.0,4.16,0.83,0.83,0.0,0.0,4.0,00:14:38,0.0,0.0,2.05,1.02,1.02,0.0,0.0,,,,,,
Calum Ritchie,COL,C,7,00:12:46,0.67,0.0,7.38,4.02,1.34,0.0,2.01,,,,,,,,,,,,,,,
Will Smith,S.J,C,74,00:15:51,0.92,1.38,6.5,0.66,0.82,0.92,3.32,7.0,00:18:52,2.27,1.36,7.27,0.91,0.91,1.82,1.36,74.0,00:02:01,4.79,7.0,00:02:18,3.72
Aydar Suniev,CGY,L,1,00:14:48,0.0,0.0,4.05,0.0,0.0,0.0,0.0,1.0,00:14:48,0.0,0.0,4.05,0.0,0.0,0.0,0.0,,,,,,
Matthew Wood,NSH,R,6,00:11:34,0.0,0.86,6.91,1.73,1.73,1.73,0.86,6.0,00:11:34,0.0,0.86,6.91,1.73,1.73,1.73,0.86,,,,,,
Jason Polin,COL,R,2,00:05:10,0.0,0.0,17.36,5.79,5.79,0.0,5.79,,,,,,,,,,,,,,,
Sam Malinski,COL,D,76,00:15:57,0.25,0.49,5.69,2.82,5.29,0.79,0.0,7.0,00:19:08,0.9,0.45,7.61,2.24,4.03,0.9,0.0,,,,7.0,00:01:30,5.68
Uvis Balinskis,FLA,D,76,00:14:51,0.21,0.74,4.89,4.41,2.92,1.44,0.0,7.0,00:17:22,0.0,1.48,4.44,6.41,1.97,1.97,0.0,,,,,,
Nikolas Matinpalo,OTT,D,41,00:12:36,0.12,0.35,4.99,2.9,3.37,2.32,0.0,6.0,00:13:44,0.73,1.46,5.1,2.91,4.37,4.37,0.0,,,,,,
Matvei Michkov,PHI,R,80,00:16:41,1.17,1.66,8.95,1.3,1.03,2.07,0.85,7.0,00:19:25,0.88,2.21,8.83,0.44,1.32,0.88,0.0,80.0,00:02:49,4.53,7.0,00:02:41,6.35
Ty Mueller,VAN,C,2,00:10:17,0.0,0.0,2.91,2.91,11.66,5.83,14.57,2.0,00:10:17,0.0,0.0,2.91,2.91,11.66,5.83,14.57,,,,,,
Zayne Parekh,CGY,D,1,00:20:31,2.92,0.0,5.85,2.92,2.92,5.85,0.0,1.0,00:20:31,2.92,0.0,5.85,2.92,2.92,5.85,0.0,,,,,,
Jett Luchanko,PHI,C,4,00:14:03,0.0,0.0,3.2,6.4,0.0,2.13,18.14,,,,,,,,,,4.0,00:02:39,0.0,,,
Artyom Levshunov,CHI,D,18,00:20:18,0.0,0.98,3.45,3.12,3.28,1.31,0.0,7.0,00:19:25,0.0,0.44,3.53,4.41,3.09,1.76,0.0,18.0,00:01:29,4.46,,,
Macklin Celebrini,S.J,C,70,00:19:47,1.08,1.65,10.22,1.6,2.3,1.21,21.96,7.0,00:19:08,1.79,2.24,9.85,2.24,0.9,0.9,27.76,70.0,00:03:08,6.0,7.0,00:02:27,6.96
Sam Morton,CGY,C,1,00:12:25,4.83,0.0,4.83,19.33,4.83,0.0,19.33,1.0,00:12:25,4.83,0.0,4.83,19.33,4.83,0.0,19.33,,,,,,
Justin Hryckowian,DAL,C,5,00:07:52,0.0,1.52,4.57,12.18,0.0,0.0,4.57,,,,,,,,,,,,,,,
Collin Graf,S.J,R,33,00:15:51,0.57,0.69,4.59,2.29,1.72,0.92,0.46,2.0,00:19:34,0.0,0.0,4.6,1.53,0.0,0.0,0.0,33.0,00:01:15,5.78,,,
Juha Jaaska,CAR,L,18,00:08:55,0.0,1.49,4.11,7.47,1.12,3.36,5.97,,,,,,,,,,,,,,,
Arttu Hyry,DAL,R,5,00:09:04,0.0,1.32,6.61,5.28,3.96,0.0,14.53,,,,,,,,,,,,,,,
Maxim Tsyplakov,NYI,R,77,00:14:58,0.52,1.3,6.04,7.24,2.08,2.03,0.52,7.0,00:14:28,1.18,0.59,8.29,4.14,5.92,1.18,0.0,77.0,00:01:32,1.51,7.0,00:01:35,5.4
Jere Innala,COL,L,17,00:07:09,0.0,0.0,3.95,9.87,2.96,0.99,0.49,2.0,00:08:52,0.0,0.0,13.52,3.38,3.38,0.0,0.0,,,,,,
Ivan Demidov,MTL,R,2,00:13:42,2.19,2.19,10.94,4.38,0.0,0.0,0.0,2.0,00:13:42,2.19,2.19,10.94,4.38,0.0,0.0,0.0,,,,,,
Nikita Prishchepov,COL,C,10,00:06:22,0.0,0.0,3.77,9.42,1.88,0.0,0.0,,,,,,,,,,,,,,,
Jack Williams,CBJ,R,1,00:11:09,0.0,0.0,0.0,0.0,5.38,0.0,26.91,1.0,00:11:09,0.0,0.0,0.0,0.0,5.38,0.0,26.91,,,,,,
Karsen Dorwart,PHI,L,5,00:10:58,0.0,0.0,4.37,9.84,2.19,2.19,15.3,5.0,00:10:58,0.0,0.0,4.37,9.84,2.19,2.19,15.3,,,,,,
Quinn Hutson,EDM,R,2,00:13:25,0.0,0.0,2.23,0.0,0.0,4.47,0.0,2.0,00:13:25,0.0,0.0,2.23,0.0,0.0,4.47,0.0,,,,,,
Tim Washe,ANA,C,2,00:07:43,0.0,0.0,7.76,15.52,0.0,0.0,15.52,2.0,00:07:43,0.0,0.0,7.76,15.52,0.0,0.0,15.52,,,,,,
