TM,Week,Games,LiteNite,Opponents,OppOff,OffMatchUp,B2B,Away,GamesRestOfWeek,GamesROS,Key
PIT,14,3,1,"N.J, CAR, BOS",56%,"Average [50,96,16]",2,1,0,38,PIT14
PIT,15,3,0,"T.B, PHI, COL",50%,"Good [50,18,83]",0,0,0,35,PIT15
PIT,16,4,0,"SEA, CAR, EDM, VAN",41%,"Good [4,96,33,32]",2,4,0,31,PIT16
PIT,17,2,0,"CHI, NYR",30%,"Excellent [21,40]",0,0,0,29,PIT17
PIT,18,6,0,"OTT, NYI, BUF, N.J, NYR, VGK",40%,"Good [32,39,46,50,40,44]",4,3,0,23,PIT18
PIT,19,4,0,"BOS, BUF, PHI, BOS",24%,"Excellent [16,46,18,16]",2,1,0,19,PIT19
PIT,20,3,0,"CBJ, VGK, UTA",51%,"Average [58,44,52]",0,3,0,16,PIT20
PIT,21,4,1,"CGY, CBJ, WPG, CBJ",47%,"Good [40,58,32,58]",2,2,0,12,PIT21
PIT,22,3,0,"CGY, OTT, DAL",34%,"Good [40,32,29]",0,1,0,9,PIT22
PIT,23,5,1,"NYI, DET, T.B, FLA, FLA",54%,"Average [39,49,50,63,63]",4,2,0,4,PIT23
PIT,24,4,0,"N.J, WSH, WSH, STL",61%,"Average [50,81,81,22]",2,3,0,0,PIT24
S.J,1,2,0,"VGK, ANA",52%,"Average [44,61]",0,0,0,80,S.J1
S.J,2,3,1,"CBJ, UTA, PIT",56%,"Average [58,52,57]",2,1,0,77,S.J2
S.J,3,4,1,"NYI, NYR, N.J, MIN",35%,"Good [39,40,50,25]",2,4,0,73,S.J3
S.J,4,4,1,"L.A, N.J, CGY, DET",44%,"Good [50,50,40,49]",2,0,0,69,S.J4
S.J,5,3,2,"SEA, WPG, FLA",33%,"Good [4,32,63]",2,1,0,66,S.J5
S.J,6,3,0,"MIN, CAR, SEA",42%,"Good [25,96,4]",0,3,0,63,S.J6
S.J,7,4,0,"UTA, L.A, OTT, BOS",33%,"Good [52,50,32,16]",2,0,0,59,S.J7
S.J,8,3,0,"CGY, VAN, VGK",39%,"Good [40,32,44]",2,2,0,56,S.J8
S.J,9,4,3,"UTA, WSH, DAL, CBJ",55%,"Average [52,81,29,58]",0,2,1,52,S.J9
S.J,10,3,0,"PHI, TOR, PIT",37%,"Good [18,37,57]",0,3,0,49,S.J10
S.J,11,3,0,"CAR, DAL, SEA",43%,"Good [96,29,4]",0,0,0,46,S.J11
S.J,12,2,0,"VGK, VAN",38%,"Good [44,32]",0,2,0,44,S.J12
S.J,13,3,0,"ANA, MIN, T.B",43%,"Good [61,25,50]",0,1,0,41,S.J13
S.J,14,4,2,"COL, L.A, DAL, VGK",52%,"Average [83,50,29,44]",4,1,0,37,S.J14
S.J,15,2,1,"WSH, DET",65%,"Average [81,49]",2,2,0,35,S.J15
S.J,16,3,0,"FLA, T.B, NYR",52%,"Average [63,50,40]",2,2,0,32,S.J16
S.J,17,3,0,"VAN, EDM, CAR",54%,"Average [32,33,96]",0,3,0,29,S.J17
S.J,18,5,0,"CHI, CGY, CAR, EDM, WPG",44%,"Good [21,40,96,33,32]",2,2,0,24,S.J18
