Player,Team,team_name,Elig_Pos,szn_GP_all,szn_TOI/GP_all,szn_G,szn_A,szn_SOG,szn_HIT,szn_BLK,szn_PIM,szn_FOW,l7_GP_all,l7_TOI/GP_all,l7_G,l7_A,l7_SOG,l7_HIT,l7_BLK,l7_PIM,l7_FOW,szn_GP_pp,szn_TOI/GP_pp,szn_PPP,l7_GP_pp,l7_TOI/GP_pp,l7_PPP,pos_group,T_szn_G,T_szn_A,T_szn_PPP,T_szn_SOG,T_szn_FOW,T_szn_HIT,T_szn_BLK,T_szn_PIM,T_l7_G,T_l7_A,T_l7_PPP,T_l7_SOG,T_l7_FOW,T_l7_HIT,T_l7_BLK,T_l7_PIM,Offensive_Index_szn,Banger_Index_szn,Composite_Index_szn,Offensive_Index_l7,Banger_Index_l7,Composite_Index_l7
Tanner Laczynski,VGK,,,8,0:08:36,0.87,0.0,1.74,2.62,2.62,5.23,13.95,,,,,,,,,,,,,,,,F,68,4,50,2,84,26,66,94,50,50,50,50,50,50,50,50,41.6,62.0,47.72,50.0,50.0,50.0
Vincent Desharnais,"PIT, S.J, VAN",,,51,0:15:55,0.0,0.22,2.07,6.43,6.13,3.33,0.0,,,,,,,,,,,,,,,,D,16,15,50,13,48,85,82,87,50,50,50,50,50,50,50,50,28.4,84.66666666666667,45.28,50.0,50.0,50.0
Michael Eyssimont,"SEA, T.B",,,77,0:10:36,0.66,0.51,10.42,8.08,1.69,4.63,0.44,,,,,,,,,,,,,,,,F,53,29,50,90,20,73,37,92,50,50,50,50,50,50,50,50,48.4,67.33333333333333,54.08,50.0,50.0,50.0
Nathan Clurman,PIT,,,1,0:11:04,0.0,0.0,21.65,5.41,0.0,10.83,0.0,,,,,,,,,,,,,,,,D,16,4,50,99,48,78,1,99,50,50,50,50,50,50,50,50,43.4,59.333333333333336,48.17999999999999,50.0,50.0,50.0
Michael Carcone,UTA,,,53,0:11:25,0.69,1.19,7.43,4.75,1.09,3.56,0.5,1.0,0:11:06,5.41,0.0,10.81,0.0,5.41,0.0,0.0,,,,,,,F,55,71,50,70,21,50,17,85,99,12,50,85,15,3,93,19,53.4,50.66666666666666,52.58,52.2,38.333333333333336,48.04
Justin Brazeau,"BOS, MIN",,,76,0:11:51,0.73,0.73,5.92,8.18,2.53,1.2,0.2,,,,,,,,,,76.0,0:01:11,3.32,,,,F,58,44,39,52,16,74,63,43,50,50,50,50,50,50,50,50,41.8,60.0,47.25999999999999,50.0,50.0,50.0
Dylan Coghlan,WPG,,,6,0:15:21,0.0,0.0,5.86,1.3,4.56,2.61,0.0,,,,,,,,,,,,,,,,D,16,4,50,85,48,15,57,79,50,50,50,50,50,50,50,50,40.6,50.333333333333336,43.52,50.0,50.0,50.0
Tanner Jeannot,L.A,Hughes your daddy,LW;RW,67,0:11:01,0.57,0.49,4.55,16.99,3.01,6.42,0.65,,,,,,,,,,,,,,,,F,46,27,50,31,23,94,74,97,50,50,50,50,50,50,50,50,35.4,88.33333333333333,51.28,50.0,50.0,50.0
Mathieu Olivier,CBJ,Dan's Dazzling Team,RW,82,0:14:27,0.91,0.71,5.62,15.43,4.05,7.03,0.71,7.0,0:14:47,0.58,1.16,4.64,13.33,4.64,4.06,0.58,,,,,,,F,70,42,50,48,24,92,89,97,45,63,50,31,24,91,90,89,46.8,92.66666666666669,60.56,42.6,90.0,56.82
Trevor Moore,L.A,,,71,0:16:52,0.9,1.1,7.66,3.56,1.45,0.7,0.05,6.0,0:16:50,0.0,1.78,7.13,2.38,2.38,1.19,0.0,71.0,0:01:15,2.01,6.0,0:01:48,0.0,F,69,66,14,73,14,37,29,27,13,79,9,61,15,34,65,55,47.2,31.0,42.34,35.4,51.333333333333336,40.18
Jeffrey Viel,BOS,,,5,0:07:41,0.0,0.0,4.68,18.73,3.12,21.85,1.56,,,,,,,,,,,,,,,,F,6,4,50,33,34,95,77,99,50,50,50,50,50,50,50,50,25.4,90.33333333333331,44.88,50.0,50.0,50.0
Alex Barré-Boulet,MTL,,,2,0:10:09,0.0,0.0,0.0,5.91,0.0,5.91,0.0,,,,,,,,,,,,,,,,F,6,4,50,1,13,60,1,96,50,50,50,50,50,50,50,50,14.8,52.333333333333336,26.06,50.0,50.0,50.0
