week,start_date,end_date
10,2025-12-08,2025-12-14
11,2025-12-15,2025-12-21
12,2025-12-22,2025-12-28
13,2025-12-29,2026-01-04
14,2026-01-05,2026-01-11
15,2026-01-12,2026-01-18
16,2026-01-19,2026-01-25
17,2026-01-26,2026-02-01
18,2026-02-02,2026-03-01
19,2026-03-02,2026-03-08
20,2026-03-09,2026-03-15
21,2026-03-16,2026-03-22
22,2026-03-23,2026-03-29
23,2026-03-30,2026-04-05
24,2026-04-06,2026-04-19
